Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16944797],[0.19918406],[0.14256352],"[353, 225, 259, 65, 230, 239, 242, 377, 26, 157]"
2,[0.20215521],[0.22185086],[0.18192047],"[353, 225, 259, 293, 228, 239, 242, 377, 309, 152]"
3,[0.21932378],[0.22671054],[0.20488989],"[256, 232, 242, 324, 366, 377, 309, 239, 316, 360]"
4,[0.22694163],[0.22997987],[0.21999659],"[353, 251, 336, 234, 230, 239, 242, 377, 309, 316]"
5,[0.22987263],[0.23359948],[0.22496073],"[353, 251, 336, 234, 232, 316, 242, 377, 309, 313]"
6,[0.23189552],[0.23569061],[0.],"[366, 251, 336, 234, 232, 316, 242, 377, 309, 313]"
7,[0.23388814],[0.23749662],[0.],"[353, 232, 242, 234, 230, 251, 324, 239, 316, 313]"
8,[0.23574614],[0.23847913],[0.23163614],"[316, 232, 242, 234, 230, 324, 353, 251, 313, 239]"
9,[0.23618311],[0.23964699],[0.],"[366, 234, 242, 232, 230, 251, 324, 239, 316, 313]"
10,[0.23516859],[0.24097416],[0.],"[366, 234, 242, 232, 230, 324, 353, 251, 316, 313]"
11,[0.23555194],[0.24124059],[0.],"[366, 232, 230, 234, 251, 324, 353, 242, 316, 313]"
12,[0.23824064],[0.24124059],[0.],"[366, 232, 230, 234, 251, 324, 353, 242, 316, 313]"
13,[0.23762775],[0.24124059],[0.],"[366, 232, 230, 234, 251, 324, 353, 242, 316, 313]"
14,[0.23830854],[0.24124059],[0.],"[366, 232, 230, 234, 251, 324, 353, 242, 316, 313]"
15,[0.23256745],[0.24181442],[0.],"[232, 234, 366, 230, 251, 324, 353, 242, 316, 313]"
16,[0.23621822],[0.24181442],[0.],"[232, 234, 366, 230, 251, 324, 353, 242, 316, 313]"
17,[0.23554728],[0.24183919],[0.],"[232, 234, 366, 230, 324, 251, 316, 242, 353, 313]"
18,[0.24059316],[0.24190019],[0.],"[232, 234, 366, 230, 251, 324, 316, 242, 353, 313]"
19,[0.2413134],[0.24190199],[0.2394191],"[232, 234, 230, 366, 251, 324, 316, 242, 353, 313]"
20,[0.24153447],[0.24192981],[0.2404795],"[234, 232, 366, 230, 251, 324, 316, 242, 353, 313]"
21,[0.24166657],[0.2419316],[0.23958196],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
22,[0.24176861],[0.2419316],[0.2411368],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
23,[0.2417701],[0.2419316],[0.23989255],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
24,[0.24175863],[0.2419316],[0.23713485],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
25,[0.24178953],[0.2419316],[0.23967135],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
26,[0.24179784],[0.2419316],[0.2360944],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
27,[0.24183602],[0.2419316],[0.23915947],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
28,[0.24183357],[0.2419316],[0.23837097],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
29,[0.24182948],[0.2419316],[0.23939151],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
30,[0.24182633],[0.2419316],[0.23858377],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
31,[0.2418006],[0.2419316],[0.23956903],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
32,[0.24181443],[0.2419316],[0.24003187],"[234, 232, 230, 366, 251, 324, 316, 242, 353, 313]"
33,[0.24182744],[0.2419663],[0.23919416],"[234, 232, 230, 366, 251, 324, 242, 353, 316, 313]"
34,[0.24177244],[0.2419663],[0.23495298],"[234, 232, 230, 366, 251, 324, 242, 353, 316, 313]"
35,[0.24183287],[0.2419663],[0.23757676],"[234, 232, 230, 366, 251, 324, 242, 353, 316, 313]"
36,[0.24187375],[0.24197904],[0.2401493],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
37,[0.24140505],[0.24197904],[0.],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
38,[0.24190493],[0.24197904],[0.24084853],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
39,[0.24189313],[0.24197904],[0.24007804],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
40,[0.24187022],[0.24197904],[0.23920757],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
41,[0.24191189],[0.24197904],[0.24102157],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
42,[0.24190915],[0.24197904],[0.24064664],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
43,[0.24188301],[0.24197904],[0.24004507],"[234, 232, 230, 366, 251, 242, 324, 353, 316, 313]"
44,[0.24191496],[0.24200918],[0.24031464],"[234, 232, 230, 366, 251, 324, 242, 316, 353, 313]"
45,[0.24189579],[0.24202193],[0.23879656],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
46,[0.24192552],[0.24202193],[0.23876387],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
47,[0.2419294],[0.24202193],[0.23955786],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
48,[0.24194939],[0.24202193],[0.24046632],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
49,[0.24192732],[0.24202193],[0.239353],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
50,[0.24194651],[0.24202193],[0.23903559],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
51,[0.24195278],[0.24202193],[0.23900346],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
52,[0.24193112],[0.24202193],[0.23984141],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
53,[0.24194262],[0.24202193],[0.24005163],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
54,[0.24195569],[0.24202193],[0.2406246],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
55,[0.24194305],[0.24202193],[0.23843783],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
56,[0.24195775],[0.24202193],[0.24051876],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
57,[0.24191341],[0.24202193],[0.23902327],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
58,[0.24191864],[0.24202193],[0.23818037],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
59,[0.24191928],[0.24202193],[0.2392175],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
60,[0.24193606],[0.24202193],[0.23903283],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
61,[0.24194284],[0.24202193],[0.24007581],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
62,[0.24192938],[0.24202193],[0.23849553],"[234, 232, 230, 366, 251, 242, 324, 316, 353, 313]"
