Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19618931],[0.24960544],[0.1454071],"[325, 391, 264, 232, 299, 269, 240, 311, 408, 155, 31]"
2,[0.24998968],[0.27828251],[0.20775471],"[225, 401, 255, 325, 299, 269, 240, 311, 26, 572]"
3,[0.27742273],[0.29152785],[0.24766187],"[225, 391, 255, 325, 299, 269, 240, 311, 343, 600]"
4,[0.28652112],[0.29267056],[0.27276521],"[225, 391, 255, 232, 299, 269, 240, 311, 343, 572]"
5,[0.29331569],[0.29753425],[0.27874014],"[225, 391, 255, 232, 299, 400, 256, 311, 343, 572]"
6,[0.29528767],[0.29840691],[0.27561242],"[225, 391, 256, 232, 299, 400, 240, 376, 343, 600]"
7,[0.29652046],[0.29996813],[0.28262667],"[225, 391, 256, 232, 299, 400, 240, 311, 343, 572]"
8,[0.29714016],[0.29996813],[0.28200549],"[225, 391, 256, 232, 299, 400, 240, 311, 343, 572]"
9,[0.29789608],[0.29996813],[0.29152785],"[225, 391, 256, 232, 299, 400, 240, 311, 343, 572]"
10,[0.29827276],[0.29997492],[0.28556168],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
11,[0.2981726],[0.29997492],[0.28199203],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
12,[0.29854925],[0.29997492],[0.29039291],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
13,[0.29822207],[0.29997492],[0.27460957],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
14,[0.29823085],[0.29997492],[0.27970362],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
15,[0.29848805],[0.29997492],[0.28302665],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
16,[0.29838934],[0.29997492],[0.27744203],"[225, 391, 256, 232, 299, 400, 240, 343, 311, 572]"
17,[0.29862541],[0.30034221],[0.27691362],"[225, 391, 299, 232, 256, 400, 240, 311, 343, 572]"
18,[0.29861352],[0.300349],[0.27007937],"[225, 391, 299, 232, 256, 400, 240, 343, 311, 572]"
19,[0.29891932],[0.300349],[0.28237299],"[225, 391, 299, 232, 256, 400, 240, 343, 311, 572]"
20,[0.29891015],[0.300349],[0.27111573],"[225, 391, 299, 232, 256, 400, 240, 343, 311, 572]"
21,[0.29916449],[0.30070636],[0.27111573],"[225, 391, 232, 299, 256, 240, 400, 343, 311, 572]"
22,[0.29962649],[0.30088528],[0.27111573],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
23,[0.30003646],[0.30088528],[0.28135854],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
24,[0.30002551],[0.30088528],[0.26109841],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
25,[0.30017436],[0.30088528],[0.28264726],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
26,[0.30001703],[0.30088528],[0.26856428],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
27,[0.30003483],[0.30088528],[0.27978344],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
28,[0.30013139],[0.30088528],[0.27978344],"[225, 391, 299, 232, 256, 240, 400, 343, 311, 572]"
