Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19596844],[0.24176952],[0.13565676],"[227, 228, 201, 332, 271, 305, 20, 537, 379, 220, 287]"
2,[0.23984757],[0.26750611],[0.20604701],"[227, 228, 329, 235, 271, 305, 20, 537, 379, 125, 287]"
3,[0.26197525],[0.29215501],[0.23459924],"[227, 228, 329, 235, 225, 305, 379, 537, 271, 125, 287]"
4,[0.28531117],[0.30378528],[0.25417934],"[227, 228, 329, 235, 225, 305, 264, 362, 379, 220, 287]"
5,[0.30047066],[0.31123084],[0.27098116],"[227, 228, 329, 235, 225, 391, 236, 362, 379, 220, 287]"
6,[0.30723289],[0.31529203],[0.28658384],"[227, 391, 225, 235, 329, 228, 236, 362, 271, 287, 125]"
7,[0.30103849],[0.31841477],[0.],"[228, 235, 391, 227, 225, 379, 236, 362, 329, 264, 287]"
8,[0.3067257],[0.31882676],[0.],"[227, 228, 225, 235, 329, 391, 287, 220, 362, 236, 379]"
9,[0.30886386],[0.32212342],[0.],"[227, 228, 225, 235, 329, 391, 287, 362, 271, 236, 379]"
10,[0.31325373],[0.32212342],[0.],"[227, 228, 225, 235, 329, 391, 287, 362, 271, 236, 379]"
11,[0.31660865],[0.32212342],[0.27439014],"[227, 228, 225, 235, 329, 391, 287, 362, 271, 236, 379]"
12,[0.31748678],[0.32237202],[0.],"[227, 228, 225, 235, 329, 391, 287, 362, 236, 271, 379]"
13,[0.31904042],[0.32271936],[0.31326648],"[227, 235, 391, 228, 287, 225, 329, 362, 271, 236, 379]"
14,[0.31771092],[0.32388544],[0.],"[228, 235, 391, 227, 287, 225, 236, 362, 271, 329, 379]"
15,[0.31848354],[0.32388544],[0.25363756],"[228, 235, 391, 227, 287, 225, 236, 362, 271, 329, 379]"
16,[0.31966022],[0.32388544],[0.26757369],"[228, 235, 391, 227, 287, 225, 236, 362, 271, 329, 379]"
17,[0.32091695],[0.32388544],[0.29702113],"[228, 235, 391, 227, 287, 225, 236, 362, 271, 329, 379]"
18,[0.3214634],[0.32393271],[0.28710358],"[228, 235, 391, 227, 287, 225, 236, 362, 329, 271, 379]"
19,[0.32209301],[0.3242633],[0.299129],"[228, 235, 227, 225, 287, 391, 329, 362, 236, 379, 271]"
20,[0.32073966],[0.32510718],[0.],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
21,[0.32296171],[0.32510718],[0.26700844],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
22,[0.32325],[0.32510718],[0.29697185],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
23,[0.32359847],[0.32510718],[0.31800517],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
24,[0.32371145],[0.32510718],[0.30616105],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
25,[0.32371381],[0.32510718],[0.30078198],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
26,[0.32328517],[0.32510718],[0.29217519],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
27,[0.32346232],[0.32510718],[0.28874714],"[228, 235, 227, 225, 287, 391, 236, 362, 329, 271, 379]"
