Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.11968754],[0.14638993],[0.10213895],"[321, 229, 325, 297, 237, 368, 340, 278, 279, 215]"
2,[0.14133402],[0.15982935],[0.1263756],"[321, 387, 228, 297, 237, 368, 340, 278, 279, 215]"
3,[0.15571595],[0.16526656],[0.14102935],"[321, 387, 228, 297, 237, 302, 242, 278, 279, 215]"
4,[0.16333785],[0.16668321],[0.15217928],"[321, 387, 228, 297, 237, 302, 242, 278, 375, 215]"
5,[0.16526727],[0.16786556],[0.],"[297, 387, 228, 321, 237, 370, 242, 278, 215, 302]"
6,[0.16164015],[0.16856309],[0.],"[297, 387, 228, 321, 237, 370, 242, 302, 278, 215]"
7,[0.16489033],[0.17101349],[0.],"[228, 297, 242, 387, 321, 302, 324, 237, 375, 215]"
8,[0.16514441],[0.17149322],[0.],"[228, 297, 242, 387, 321, 302, 324, 237, 375, 370]"
9,[0.16882012],[0.17149322],[0.],"[228, 297, 242, 387, 321, 302, 324, 237, 375, 370]"
10,[0.17050956],[0.17164918],[0.16662358],"[228, 297, 242, 387, 321, 237, 324, 302, 375, 370]"
11,[0.17102353],[0.17172161],[0.16791288],"[228, 242, 297, 387, 321, 237, 324, 302, 375, 370]"
12,[0.17117841],[0.17172161],[0.16864979],"[228, 242, 297, 387, 321, 237, 324, 302, 375, 370]"
13,[0.17130318],[0.17172161],[0.16539966],"[228, 242, 297, 387, 321, 237, 324, 302, 375, 370]"
14,[0.17132801],[0.17172161],[0.16680081],"[228, 242, 297, 387, 321, 237, 324, 302, 375, 370]"
15,[0.17136012],[0.17172161],[0.16649348],"[228, 242, 297, 387, 321, 237, 324, 302, 375, 370]"
16,[0.17135687],[0.17176806],[0.16281062],"[228, 242, 297, 387, 321, 237, 302, 370, 375, 324]"
17,[0.1713961],[0.17176806],[0.16606319],"[228, 242, 297, 387, 321, 237, 302, 370, 375, 324]"
18,[0.17126913],[0.17183954],[0.16344692],"[228, 297, 242, 387, 321, 237, 324, 302, 370, 375]"
19,[0.1714854],[0.17191197],[0.1643313],"[228, 242, 297, 387, 321, 237, 324, 302, 370, 375]"
20,[0.17161869],[0.17191197],[0.17026373],"[228, 242, 297, 387, 321, 237, 324, 302, 370, 375]"
21,[0.17158042],[0.17191197],[0.16415977],"[228, 242, 297, 387, 321, 237, 324, 302, 370, 375]"
22,[0.1717234],[0.17196007],[0.16945224],"[228, 297, 242, 387, 237, 321, 324, 370, 302, 278]"
23,[0.17181393],[0.17204812],[0.16801935],"[228, 242, 297, 387, 237, 321, 324, 302, 370, 375]"
24,[0.17183485],[0.17204812],[0.16816731],"[228, 242, 297, 387, 237, 321, 324, 302, 370, 375]"
25,[0.17185508],[0.17204812],[0.16834991],"[228, 242, 297, 387, 237, 321, 324, 302, 370, 375]"
26,[0.17189439],[0.17204812],[0.16899802],"[228, 242, 297, 387, 237, 321, 324, 302, 370, 375]"
27,[0.17188613],[0.17204812],[0.16668583],"[228, 242, 297, 387, 237, 321, 324, 302, 370, 375]"
28,[0.17188663],[0.17205453],[0.16951013],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
29,[0.17175945],[0.17205453],[0.1622944],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
30,[0.17185271],[0.17205453],[0.16684927],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
31,[0.17147856],[0.17205453],[0.],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
32,[0.17182648],[0.17205453],[0.16679201],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
33,[0.17181626],[0.17205453],[0.15928633],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
34,[0.17144335],[0.17205453],[0.],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
35,[0.17187876],[0.17205453],[0.16354453],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
36,[0.17174574],[0.17205453],[0.1592557],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
37,[0.17181484],[0.17205453],[0.16559108],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
38,[0.17182699],[0.17205453],[0.16304713],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
39,[0.17179487],[0.17205453],[0.16361769],"[228, 242, 297, 387, 302, 370, 237, 324, 321, 375]"
40,[0.17186429],[0.17218742],[0.16574977],"[228, 242, 297, 387, 237, 324, 302, 370, 321, 375]"
41,[0.17197794],[0.17221079],[0.16574977],"[228, 242, 297, 387, 237, 302, 324, 370, 321, 375]"
42,[0.17202113],[0.17221079],[0.16723],"[228, 242, 297, 387, 237, 302, 324, 370, 321, 375]"
43,[0.17208209],[0.17221079],[0.16869],"[228, 242, 297, 387, 237, 302, 324, 370, 321, 375]"
44,[0.17211373],[0.17221079],[0.17176806],"[228, 242, 297, 387, 237, 302, 324, 370, 321, 375]"
45,[0.17209606],[0.17221079],[0.16883189],"[228, 242, 297, 387, 237, 302, 324, 370, 321, 375]"
46,[0.17211239],[0.17221079],[0.1691464],"[228, 242, 297, 387, 237, 302, 324, 370, 321, 375]"
47,[0.17211387],[0.17222233],[0.1678853],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
48,[0.17214283],[0.17222233],[0.17015878],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
49,[0.17212518],[0.17222233],[0.16804838],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
50,[0.1721017],[0.17222233],[0.16804838],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
51,[0.17211067],[0.17222233],[0.16804838],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
52,[0.17211151],[0.17222233],[0.16761297],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
53,[0.17212384],[0.17222233],[0.16524776],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
54,[0.17212698],[0.17222233],[0.16775271],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
55,[0.17210341],[0.17222233],[0.16691904],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
56,[0.17209337],[0.17222233],[0.16722652],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
57,[0.17210588],[0.17222233],[0.16836741],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
58,[0.17207457],[0.17222233],[0.16862587],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
59,[0.17211951],[0.17222233],[0.16682299],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
60,[0.1721327],[0.17222233],[0.16643018],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
61,[0.17211809],[0.17222233],[0.16886687],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
62,[0.17211547],[0.17222233],[0.16966774],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
63,[0.17214219],[0.17222233],[0.16876675],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
64,[0.17214212],[0.17222233],[0.16719662],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
65,[0.17208241],[0.17222233],[0.16676799],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
66,[0.17211971],[0.17222233],[0.16896692],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
67,[0.17206179],[0.17222233],[0.16624834],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
68,[0.17208704],[0.17222233],[0.16706418],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
69,[0.17214217],[0.17222233],[0.17051378],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
70,[0.17214172],[0.17222233],[0.17038077],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
71,[0.17213361],[0.17222233],[0.1669135],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
72,[0.17211035],[0.17222233],[0.16820408],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
73,[0.17209674],[0.17222233],[0.16850536],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
74,[0.17211526],[0.17222233],[0.16967464],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
75,[0.17211983],[0.17222233],[0.16782269],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
76,[0.17212142],[0.17222233],[0.17007334],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
77,[0.17215059],[0.17222233],[0.16977555],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
78,[0.17208238],[0.17222233],[0.16498573],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
79,[0.17215533],[0.17222233],[0.16905802],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
80,[0.17212758],[0.17222233],[0.16867058],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
81,[0.1721324],[0.17222233],[0.16711445],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
82,[0.17214015],[0.17222233],[0.16925298],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
83,[0.17216122],[0.17222233],[0.16874458],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
84,[0.172156],[0.17222233],[0.17071503],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
85,[0.17216166],[0.17222233],[0.1689628],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
86,[0.17210909],[0.17222233],[0.1673549],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
87,[0.17213411],[0.17222233],[0.17026331],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
88,[0.17215919],[0.17222233],[0.17116755],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
89,[0.17213604],[0.17222233],[0.16825041],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
90,[0.17213166],[0.17222233],[0.16781048],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
91,[0.172143],[0.17222233],[0.16704723],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
92,[0.17211661],[0.17222233],[0.16701413],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
93,[0.17216199],[0.17222233],[0.16810993],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
94,[0.17214676],[0.17222233],[0.16896387],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
95,[0.17216887],[0.17222233],[0.17056259],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
96,[0.17217064],[0.17222233],[0.17056259],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
97,[0.17217338],[0.17222233],[0.17119689],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
98,[0.17212626],[0.17222233],[0.16693998],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
99,[0.1720892],[0.17222233],[0.16765019],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
100,[0.17213814],[0.17222233],[0.16765019],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
101,[0.17209572],[0.17222233],[0.16898146],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
102,[0.17208965],[0.17222233],[0.16566876],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
103,[0.17214025],[0.17222233],[0.16934401],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
104,[0.17214269],[0.17222233],[0.16954484],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
105,[0.17213644],[0.17222233],[0.16992607],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
106,[0.17215269],[0.17222233],[0.16800967],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
107,[0.17216706],[0.17222233],[0.16941468],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
108,[0.17216683],[0.17222233],[0.16972067],"[228, 242, 297, 387, 237, 302, 370, 324, 321, 375]"
