Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20959132],[0.25697466],[0.12860806],"[225, 98, 232, 233, 240, 332, 301, 114, 149, 189]"
2,[0.26239123],[0.30686489],[0.22324267],"[225, 287, 232, 233, 240, 332, 301, 114, 149, 189]"
3,[0.29790055],[0.32336386],[0.25701921],"[225, 287, 232, 233, 240, 332, 301, 243, 286, 575]"
4,[0.32056748],[0.33456154],[0.28730007],"[225, 287, 391, 233, 240, 332, 301, 243, 286, 189]"
5,[0.32782562],[0.34308806],[0.31284115],"[225, 287, 391, 233, 332, 232, 301, 243, 286, 383]"
6,[0.33580457],[0.34489103],[0.32169114],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
7,[0.33834945],[0.34489103],[0.32369433],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
8,[0.33922012],[0.34489103],[0.32369433],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
9,[0.34001078],[0.34489103],[0.32412101],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
10,[0.34058399],[0.34489103],[0.31657081],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
11,[0.34167665],[0.34489103],[0.33348246],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
12,[0.34208257],[0.34489103],[0.32259062],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
13,[0.34225822],[0.34489103],[0.32371017],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
14,[0.34246887],[0.34489103],[0.32523629],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
15,[0.34266396],[0.34489103],[0.31779245],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
16,[0.34221335],[0.34489103],[0.30561718],"[233, 287, 391, 225, 332, 232, 301, 243, 286, 383]"
17,[0.34313508],[0.34497181],[0.31251548],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
18,[0.34317728],[0.34497181],[0.31733515],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
19,[0.34337119],[0.34497181],[0.32322333],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
20,[0.34333956],[0.34497181],[0.32032505],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
21,[0.34314133],[0.34497181],[0.31442808],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
22,[0.34365782],[0.34497181],[0.33244601],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
23,[0.34382619],[0.34497181],[0.3293301],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
24,[0.34391055],[0.34497181],[0.3293301],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
25,[0.34375487],[0.34497181],[0.32444396],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
26,[0.34410427],[0.34497181],[0.32750677],"[233, 391, 287, 225, 332, 232, 301, 243, 286, 383]"
