Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18666554],[0.21601326],[0.1393561],"[227, 228, 4, 332, 236, 301, 108, 17, 538, 309, 118, 605]"
2,[0.22746849],[0.26117668],[0.19667492],"[227, 228, 293, 330, 332, 272, 80, 339, 313, 217, 282, 605]"
3,[0.26266407],[0.27884556],[0.22999033],"[226, 228, 389, 330, 332, 302, 400, 339, 313, 123]"
4,[0.28642647],[0.29881973],[0.25424176],"[226, 382, 227, 228, 332, 272, 298, 267, 209, 626]"
5,[0.30542421],[0.3255733],[0.2809999],"[226, 382, 227, 228, 332, 301, 233, 267, 313, 334]"
6,[0.32196142],[0.3322047],[0.29885243],"[227, 226, 233, 301, 332, 228, 382, 267, 313, 217]"
7,[0.32014714],[0.33447077],[0.],"[227, 226, 233, 301, 332, 228, 382, 267, 313, 334]"
8,[0.32588746],[0.33447077],[0.],"[227, 226, 233, 301, 332, 228, 382, 267, 313, 334]"
9,[0.32917822],[0.33630436],[0.30143715],"[233, 227, 226, 382, 228, 313, 330, 267, 332, 334]"
10,[0.33115537],[0.33742158],[0.],"[227, 233, 226, 301, 228, 313, 330, 267, 332, 334]"
11,[0.3348569],[0.33942812],[0.29619479],"[227, 226, 233, 228, 332, 334, 382, 267, 330, 301]"
12,[0.33648105],[0.34053495],[0.],"[227, 233, 228, 301, 226, 332, 382, 334, 330, 267]"
13,[0.33658747],[0.34103956],[0.],"[227, 233, 228, 301, 226, 332, 382, 334, 313, 330]"
14,[0.33820269],[0.34103956],[0.29807294],"[227, 233, 228, 301, 226, 332, 382, 334, 313, 330]"
15,[0.33753873],[0.34103956],[0.],"[227, 233, 228, 301, 226, 332, 382, 334, 313, 330]"
16,[0.33815628],[0.34103956],[0.],"[227, 233, 228, 301, 226, 332, 382, 334, 313, 330]"
17,[0.33882856],[0.341112],[0.],"[227, 233, 228, 334, 226, 301, 330, 332, 313, 382]"
18,[0.33257934],[0.341112],[0.],"[227, 233, 228, 334, 226, 301, 330, 332, 313, 382]"
19,[0.33683469],[0.341112],[0.],"[227, 233, 228, 334, 226, 301, 330, 332, 313, 382]"
20,[0.33479309],[0.34234867],[0.],"[227, 233, 228, 226, 334, 313, 382, 332, 301, 330]"
21,[0.33042613],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
22,[0.3367595],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
23,[0.34022792],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
24,[0.33890598],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
25,[0.3394995],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
26,[0.34095475],[0.34286434],[0.2914035],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
27,[0.33956066],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
28,[0.34038062],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
29,[0.34046878],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
30,[0.34138247],[0.34286434],[0.31272024],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
31,[0.34053967],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
32,[0.33988164],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
33,[0.33972978],[0.34286434],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 313, 382]"
34,[0.34050741],[0.34286898],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
35,[0.3402696],[0.34286898],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
36,[0.34091165],[0.34286898],[0.],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
37,[0.34188992],[0.34286898],[0.31469838],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
38,[0.34213941],[0.34286898],[0.33018274],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
39,[0.34202099],[0.34286898],[0.30268183],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
40,[0.34209205],[0.34286898],[0.30197026],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
41,[0.34225572],[0.34286898],[0.31468646],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
42,[0.34162765],[0.34286898],[0.30529267],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
43,[0.34200901],[0.34286898],[0.31651122],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
44,[0.34225744],[0.34286898],[0.31129787],"[227, 233, 228, 226, 334, 301, 330, 332, 382, 313]"
45,[0.34233998],[0.34291404],[0.31448416],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
46,[0.3426025],[0.34291404],[0.31574151],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
47,[0.34263866],[0.34291404],[0.32894323],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
48,[0.34250053],[0.34291404],[0.32005469],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
49,[0.34262273],[0.34291404],[0.32169895],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
50,[0.34258846],[0.34291404],[0.32296441],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
51,[0.34261686],[0.34291404],[0.3254261],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
52,[0.34268547],[0.34291404],[0.32603041],"[227, 228, 233, 226, 334, 301, 330, 332, 382, 313]"
53,[0.34274185],[0.34296897],[0.33227394],"[227, 233, 228, 226, 301, 334, 332, 330, 382, 313]"
54,[0.3425168],[0.34301403],[0.31563324],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
55,[0.34271129],[0.34301403],[0.32239454],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
56,[0.34288103],[0.34301403],[0.33723902],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
57,[0.34287807],[0.34301403],[0.32875619],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
58,[0.34282362],[0.34301403],[0.32997357],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
59,[0.34273299],[0.34301403],[0.32270412],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
60,[0.34279744],[0.34301403],[0.33141808],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
61,[0.34277098],[0.34301403],[0.32453047],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
62,[0.34263007],[0.34301403],[0.31627896],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
63,[0.34285135],[0.34301403],[0.32453047],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
64,[0.34268036],[0.34301403],[0.32248326],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
65,[0.34275968],[0.34301403],[0.33086289],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
66,[0.34278837],[0.34301403],[0.30894245],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
67,[0.34282379],[0.34301403],[0.32533649],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
68,[0.34264493],[0.34301403],[0.32275804],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
69,[0.34267187],[0.34301403],[0.323492],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
70,[0.34249778],[0.34301403],[0.31971147],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
71,[0.34269798],[0.34301403],[0.32444105],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
72,[0.34269194],[0.34301403],[0.3281537],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
73,[0.34255336],[0.34301403],[0.3229255],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
74,[0.34275438],[0.34301403],[0.32877149],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
75,[0.34271003],[0.34301403],[0.31710788],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
76,[0.34279296],[0.34301403],[0.32417193],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
77,[0.34288642],[0.34301403],[0.33667947],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
78,[0.3428106],[0.34301403],[0.33153444],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
79,[0.34271699],[0.34301403],[0.31297123],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
80,[0.34283173],[0.34301403],[0.32226667],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
81,[0.34278167],[0.34301403],[0.31777984],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
82,[0.34269527],[0.34301403],[0.32284734],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
83,[0.34273836],[0.34301403],[0.31690694],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
84,[0.34260097],[0.34301403],[0.32104235],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
85,[0.34284246],[0.34301403],[0.31589577],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
86,[0.34263443],[0.34301403],[0.31909299],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
87,[0.34288536],[0.34301403],[0.32588558],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
88,[0.34277951],[0.34301403],[0.32670307],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
89,[0.34248163],[0.34301403],[0.31601833],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
90,[0.34286887],[0.34301403],[0.32213822],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
91,[0.34287233],[0.34301403],[0.3209281],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
92,[0.34276525],[0.34301403],[0.3290277],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
93,[0.34291052],[0.34301403],[0.33538315],"[227, 228, 233, 226, 301, 334, 332, 330, 382, 313]"
