Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18833754],[0.23099416],[0.12203304],"[386, 355, 249, 363, 235, 267, 49, 433, 82, 283]"
2,[0.23579278],[0.27915919],[0.19152699],"[235, 355, 249, 391, 233, 139, 402, 52, 340, 137]"
3,[0.28192946],[0.30734724],[0.23138739],"[235, 355, 249, 391, 233, 267, 402, 252, 139, 98]"
4,[0.30993442],[0.32445992],[0.28014094],"[235, 355, 249, 391, 233, 267, 299, 252, 349, 98]"
5,[0.32267191],[0.33370339],[0.29746938],"[391, 252, 249, 235, 233, 267, 299, 349, 355, 606]"
6,[0.29895145],[0.33481407],[0.],"[391, 252, 249, 235, 233, 267, 299, 349, 355, 98]"
7,[0.31603261],[0.33793489],[0.],"[391, 252, 249, 235, 233, 361, 299, 267, 349, 355]"
8,[0.32810612],[0.33793489],[0.],"[391, 252, 249, 235, 233, 361, 299, 267, 349, 355]"
9,[0.33415916],[0.33872482],[0.31239417],"[252, 233, 235, 249, 355, 361, 391, 267, 349, 299]"
10,[0.32938954],[0.33872482],[0.],"[252, 233, 235, 249, 355, 361, 391, 267, 349, 299]"
11,[0.32895685],[0.34123081],[0.],"[252, 235, 233, 249, 391, 361, 355, 349, 267, 299]"
12,[0.33435432],[0.34178487],[0.],"[252, 235, 233, 249, 391, 361, 355, 267, 349, 299]"
13,[0.33750115],[0.34256972],[0.],"[252, 233, 235, 249, 391, 361, 355, 267, 299, 349]"
14,[0.33891987],[0.34291096],[0.30480355],"[252, 235, 233, 249, 391, 361, 355, 267, 299, 349]"
15,[0.34026361],[0.34346841],[0.30999457],"[252, 235, 249, 233, 391, 267, 355, 299, 361, 349]"
16,[0.34097283],[0.34372539],[0.31273162],"[252, 235, 249, 233, 391, 355, 361, 267, 299, 349]"
17,[0.34147073],[0.34372539],[0.3261998],"[252, 235, 249, 233, 391, 355, 361, 267, 299, 349]"
18,[0.34099454],[0.34372539],[0.],"[252, 235, 249, 233, 391, 355, 361, 267, 299, 349]"
19,[0.34231695],[0.34466616],[0.32407006],"[252, 235, 249, 233, 391, 355, 299, 267, 361, 349]"
20,[0.34280579],[0.34466616],[0.31594699],"[252, 235, 249, 233, 391, 355, 299, 267, 361, 349]"
21,[0.34308117],[0.34466616],[0.31639064],"[252, 235, 249, 233, 391, 355, 299, 267, 361, 349]"
22,[0.34366472],[0.34476781],[0.3231478],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
23,[0.34361563],[0.34476781],[0.3125632],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
24,[0.34386353],[0.34476781],[0.32084098],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
25,[0.34385161],[0.34476781],[0.32701872],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
26,[0.34347385],[0.34476781],[0.31186778],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
27,[0.34364814],[0.34476781],[0.31481017],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
28,[0.34355226],[0.34476781],[0.31997886],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
29,[0.34342882],[0.34476781],[0.31997886],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
30,[0.34370197],[0.34476781],[0.3245396],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
31,[0.34378788],[0.34476781],[0.3216271],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
32,[0.34395828],[0.34476781],[0.32163192],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
33,[0.34380797],[0.34476781],[0.32163192],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
34,[0.34346031],[0.34476781],[0.31930242],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
35,[0.34369023],[0.34476781],[0.32125924],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
36,[0.34393973],[0.34476781],[0.33276507],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
37,[0.3437728],[0.34476781],[0.32460254],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
38,[0.34392087],[0.34476781],[0.3261369],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
39,[0.34390037],[0.34476781],[0.32513478],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
40,[0.34396924],[0.34476781],[0.33460829],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
41,[0.34401576],[0.34476781],[0.33103],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
42,[0.3439124],[0.34476781],[0.31731711],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
43,[0.34402805],[0.34476781],[0.32077502],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
44,[0.34396873],[0.34476781],[0.31831069],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
45,[0.34398205],[0.34476781],[0.32113071],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
46,[0.34397268],[0.34476781],[0.32125664],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
47,[0.3438836],[0.34476781],[0.33013228],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
48,[0.34389957],[0.34476781],[0.32063418],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
49,[0.34417505],[0.34476781],[0.3316898],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
50,[0.34421554],[0.34476781],[0.32025254],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
51,[0.34422223],[0.34476781],[0.32990561],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
52,[0.34409321],[0.34476781],[0.32481208],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
53,[0.34431364],[0.34476781],[0.3360778],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
54,[0.34425448],[0.34476781],[0.32929139],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
55,[0.34423145],[0.34476781],[0.32789067],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
56,[0.3442808],[0.34476781],[0.33320818],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
57,[0.34420061],[0.34476781],[0.3232549],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
58,[0.34415183],[0.34476781],[0.3251386],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
59,[0.34414645],[0.34476781],[0.329415],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
60,[0.34421346],[0.34476781],[0.31258983],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
61,[0.34423098],[0.34476781],[0.32969823],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
62,[0.3443375],[0.34476781],[0.32969823],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
63,[0.34426334],[0.34476781],[0.33010562],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
64,[0.34408168],[0.34476781],[0.32143725],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
65,[0.34432141],[0.34476781],[0.32230528],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
66,[0.34424671],[0.34476781],[0.32438146],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
67,[0.34428886],[0.34476781],[0.32845255],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
68,[0.34441152],[0.34476781],[0.3292514],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
69,[0.34435851],[0.34476781],[0.31373271],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
70,[0.34434021],[0.34476781],[0.32621157],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
71,[0.34426534],[0.34476781],[0.33112133],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
72,[0.34412658],[0.34476781],[0.31293554],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
73,[0.34383864],[0.34476781],[0.32157671],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
74,[0.34415064],[0.34476781],[0.32977594],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
75,[0.34418515],[0.34476781],[0.3247134],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
76,[0.34422581],[0.34476781],[0.33161103],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
77,[0.34407412],[0.34476781],[0.32755557],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
78,[0.34393205],[0.34476781],[0.31429333],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
79,[0.34400678],[0.34476781],[0.31519704],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
80,[0.34417965],[0.34476781],[0.32837532],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
81,[0.34435828],[0.34476781],[0.33211096],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
82,[0.34414069],[0.34476781],[0.31139457],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
83,[0.3444175],[0.34476781],[0.33497522],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
84,[0.34433059],[0.34476781],[0.31806723],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
85,[0.34414527],[0.34476781],[0.31692579],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
86,[0.34425604],[0.34476781],[0.31585583],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
87,[0.34411411],[0.34476781],[0.31697023],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
88,[0.34397733],[0.34476781],[0.32183973],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
89,[0.3441721],[0.34476781],[0.32530913],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
90,[0.34413613],[0.34476781],[0.32530913],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
91,[0.34428778],[0.34476781],[0.3311295],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
92,[0.34439143],[0.34476781],[0.33832672],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
93,[0.34421764],[0.34476781],[0.32305323],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
94,[0.34397525],[0.34476781],[0.30728347],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
95,[0.34417582],[0.34476781],[0.31960793],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
96,[0.34424801],[0.34476781],[0.32123356],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
97,[0.34440907],[0.34476781],[0.33411018],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
98,[0.34426217],[0.34476781],[0.32287656],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
99,[0.34421195],[0.34476781],[0.32039836],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
100,[0.34410156],[0.34476781],[0.31887637],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
101,[0.34427665],[0.34476781],[0.31572003],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
102,[0.34437175],[0.34476781],[0.32646662],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
103,[0.34414916],[0.34476781],[0.31669893],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
104,[0.34446891],[0.34476781],[0.32796082],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
105,[0.34449556],[0.34476781],[0.32737982],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
106,[0.34440757],[0.34476781],[0.33084092],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
107,[0.34413318],[0.34476781],[0.31499218],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
108,[0.34426135],[0.34476781],[0.32567464],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
109,[0.34438516],[0.34476781],[0.33118515],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
110,[0.34437014],[0.34476781],[0.32216499],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
111,[0.34434147],[0.34476781],[0.32913882],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
112,[0.34434596],[0.34476781],[0.32414414],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
113,[0.34431128],[0.34476781],[0.31170526],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
114,[0.34436308],[0.34476781],[0.32602629],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
115,[0.34415727],[0.34476781],[0.32093118],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
116,[0.34416147],[0.34476781],[0.32093118],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
117,[0.34410547],[0.34476781],[0.32018599],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
118,[0.34418609],[0.34476781],[0.3228484],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
119,[0.3440906],[0.34476781],[0.31563422],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
120,[0.34426978],[0.34476781],[0.32013647],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
121,[0.34427054],[0.34476781],[0.31491197],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
122,[0.34436042],[0.34476781],[0.32462424],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
123,[0.34433116],[0.34476781],[0.32631089],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
124,[0.34444939],[0.34476781],[0.3297122],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
125,[0.34433216],[0.34476781],[0.32860456],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
126,[0.34417913],[0.34476781],[0.32728932],"[252, 235, 249, 233, 391, 355, 299, 361, 267, 349]"
