Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20203262],[0.26390931],[0.15098786],"[225, 294, 391, 232, 393, 10, 244, 149, 311, 632]"
2,[0.26659709],[0.29127471],[0.20981483],"[225, 294, 391, 232, 393, 305, 307, 149, 311, 632]"
3,[0.29775535],[0.31364069],[0.27308849],"[228, 387, 227, 232, 393, 10, 233, 297, 311, 541]"
4,[0.3204079],[0.33405912],[0.29715591],"[228, 387, 227, 232, 393, 305, 233, 297, 311, 541]"
5,[0.33337074],[0.34559005],[0.3093674],"[228, 387, 227, 232, 392, 305, 233, 297, 311, 541]"
6,[0.34836727],[0.36327176],[0.29233682],"[228, 227, 235, 232, 387, 305, 233, 297, 393, 632]"
7,[0.35938025],[0.36695965],[0.333105],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 632]"
8,[0.36187571],[0.36765734],[0.333105],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
9,[0.36316562],[0.36765734],[0.34238679],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
10,[0.36349577],[0.36765734],[0.34430903],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
11,[0.36415375],[0.36765734],[0.35032405],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
12,[0.36463408],[0.36765734],[0.32050713],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
13,[0.3645812],[0.36765734],[0.34766369],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
14,[0.36512666],[0.36765734],[0.34766369],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
15,[0.36500825],[0.36765734],[0.33488226],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
16,[0.36494502],[0.36765734],[0.34329569],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
17,[0.36517876],[0.36765734],[0.35499647],"[228, 227, 235, 233, 387, 305, 232, 297, 393, 410]"
18,[0.36563792],[0.36807846],[0.32115762],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
19,[0.36576929],[0.36807846],[0.3387428],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
20,[0.36636506],[0.36807846],[0.3387428],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
21,[0.36624362],[0.36807846],[0.3266233],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
22,[0.36547122],[0.36807846],[0.],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
23,[0.36593295],[0.36807846],[0.2937712],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
24,[0.36597629],[0.36807846],[0.34029683],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
25,[0.36621219],[0.36807846],[0.34122713],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
26,[0.36637256],[0.36807846],[0.34122713],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
27,[0.36619722],[0.36807846],[0.32292736],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
28,[0.36628569],[0.36807846],[0.34030189],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
29,[0.36649443],[0.36807846],[0.34279372],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
30,[0.36661963],[0.36807846],[0.34709005],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
31,[0.36641708],[0.36807846],[0.33451341],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
32,[0.36622948],[0.36807846],[0.33451341],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
33,[0.36619118],[0.36807846],[0.32638405],"[228, 227, 235, 233, 387, 232, 305, 297, 393, 410]"
34,[0.36656774],[0.36810223],[0.33053311],"[228, 227, 235, 233, 232, 387, 305, 297, 393, 410]"
35,[0.36671544],[0.36810223],[0.34577661],"[228, 227, 235, 233, 232, 387, 305, 297, 393, 410]"
36,[0.36642986],[0.36810223],[0.33384682],"[228, 227, 235, 233, 232, 387, 305, 297, 393, 410]"
