Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18773297],[0.23744798],[0.14041166],"[225, 228, 291, 265, 234, 238, 79, 308, 629, 250]"
2,[0.24622394],[0.27536454],[0.20627986],"[225, 228, 263, 387, 235, 549, 372, 316, 311, 348]"
3,[0.2741169],[0.29233338],[0.2532217],"[225, 228, 263, 387, 235, 396, 206, 316, 311, 348]"
4,[0.29088228],[0.30571726],[0.27448607],"[225, 228, 348, 235, 387, 316, 311, 238, 372, 263]"
5,[0.30470596],[0.3255296],[0.2884974],"[225, 228, 233, 387, 235, 396, 401, 316, 311, 348]"
6,[0.31833885],[0.32721108],[0.29506857],"[225, 228, 233, 235, 387, 396, 401, 316, 311, 348]"
7,[0.3235685],[0.33095347],[0.29506857],"[225, 228, 233, 235, 387, 316, 311, 396, 348, 401]"
8,[0.32322769],[0.33138947],[0.],"[225, 233, 228, 235, 387, 316, 311, 396, 348, 401]"
9,[0.32765244],[0.33172927],[0.29795245],"[225, 233, 228, 235, 387, 316, 401, 396, 311, 348]"
10,[0.32961759],[0.33172927],[0.32117836],"[225, 233, 228, 235, 387, 316, 401, 396, 311, 348]"
11,[0.33000482],[0.33191924],[0.31633047],"[233, 228, 225, 235, 387, 316, 401, 396, 311, 348]"
12,[0.33008198],[0.33191924],[0.31231686],"[233, 228, 225, 235, 387, 316, 401, 396, 311, 348]"
13,[0.33052769],[0.33191924],[0.32225373],"[233, 228, 225, 235, 387, 316, 401, 396, 311, 348]"
14,[0.3307691],[0.33191924],[0.31037519],"[233, 228, 225, 235, 387, 316, 401, 396, 311, 348]"
15,[0.33093681],[0.33191924],[0.3181061],"[233, 228, 225, 235, 387, 316, 401, 396, 311, 348]"
16,[0.33111175],[0.33223095],[0.32626041],"[233, 235, 225, 228, 387, 311, 316, 401, 348, 396]"
17,[0.32899857],[0.33284866],[0.],"[233, 235, 225, 228, 387, 316, 401, 396, 311, 348]"
18,[0.33109519],[0.33284866],[0.30694629],"[233, 235, 225, 228, 387, 316, 401, 396, 311, 348]"
19,[0.33109234],[0.33374085],[0.30930711],"[233, 235, 225, 228, 387, 316, 311, 401, 348, 396]"
20,[0.33167101],[0.33374085],[0.31721479],"[233, 235, 225, 228, 387, 316, 311, 401, 348, 396]"
21,[0.33193385],[0.33374085],[0.2992519],"[233, 235, 225, 228, 387, 316, 311, 401, 348, 396]"
22,[0.32929777],[0.33397428],[0.],"[233, 235, 225, 316, 228, 401, 387, 311, 348, 396]"
23,[0.33097944],[0.33397428],[0.],"[233, 235, 225, 316, 228, 401, 387, 311, 348, 396]"
24,[0.33132766],[0.33397428],[0.],"[233, 235, 225, 316, 228, 401, 387, 311, 348, 396]"
25,[0.33227466],[0.33397428],[0.31727315],"[233, 235, 225, 316, 228, 401, 387, 311, 348, 396]"
26,[0.33160513],[0.33397428],[0.],"[233, 235, 225, 316, 228, 401, 387, 311, 348, 396]"
27,[0.33258937],[0.33397428],[0.30963939],"[233, 235, 225, 316, 228, 401, 387, 311, 348, 396]"
28,[0.3321077],[0.33400299],[0.],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
29,[0.33227504],[0.33400299],[0.],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
30,[0.33313698],[0.33400299],[0.32256039],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
31,[0.33318285],[0.33400299],[0.3035842],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
32,[0.33332282],[0.33400299],[0.30690722],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
33,[0.33356934],[0.33400299],[0.32663198],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
34,[0.33335453],[0.33400299],[0.31974215],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
35,[0.33324144],[0.33400299],[0.31263345],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
36,[0.33333912],[0.33400299],[0.32004103],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
37,[0.33332531],[0.33400299],[0.32091275],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
38,[0.33325309],[0.33400299],[0.3152664],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
39,[0.33332626],[0.33400299],[0.3148333],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
40,[0.33330254],[0.33400299],[0.31741122],"[235, 233, 225, 316, 228, 401, 387, 311, 348, 396]"
41,[0.33321503],[0.33412882],[0.31882319],"[233, 235, 225, 316, 228, 387, 348, 311, 401, 396]"
42,[0.33347022],[0.33449792],[0.31168296],"[235, 233, 225, 316, 228, 387, 401, 311, 348, 396]"
43,[0.33357633],[0.33449792],[0.31422489],"[235, 233, 225, 316, 228, 387, 401, 311, 348, 396]"
44,[0.33384669],[0.33449792],[0.32182909],"[235, 233, 225, 316, 228, 387, 401, 311, 348, 396]"
45,[0.33385126],[0.33478453],[0.29786625],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
46,[0.33409533],[0.33478453],[0.31050278],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
47,[0.33406822],[0.33478453],[0.31720554],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
48,[0.33425259],[0.33478453],[0.32645907],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
49,[0.33429532],[0.33478453],[0.32425507],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
50,[0.33416804],[0.33478453],[0.30475908],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
51,[0.33414639],[0.33478453],[0.31763886],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
52,[0.33413919],[0.33478453],[0.31975073],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
53,[0.33425823],[0.33478453],[0.32293845],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
54,[0.33412255],[0.33478453],[0.31864298],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
55,[0.33432136],[0.33478453],[0.32528034],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
56,[0.33429929],[0.33478453],[0.32021451],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
57,[0.33406733],[0.33478453],[0.32002488],"[235, 233, 225, 228, 316, 387, 401, 311, 348, 396]"
