Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18513506],[0.21025665],[0.15193276],"[257, 228, 230, 358, 236, 45, 396, 366, 333, 465, 466, 189, 478]"
2,[0.21338765],[0.24044062],[0.18363072],"[384, 230, 361, 358, 234, 269, 306, 373, 437, 348]"
3,[0.24008716],[0.25094188],[0.21828484],"[230, 269, 228, 261, 348, 333, 373, 359, 384, 306]"
4,[0.24890773],[0.25824658],[0.],"[384, 228, 230, 235, 234, 269, 306, 366, 333, 348]"
5,[0.25620846],[0.26683962],[0.23550032],"[348, 228, 234, 333, 384, 230, 235, 373, 306, 269]"
6,[0.2567233],[0.27141393],[0.],"[235, 333, 230, 358, 234, 228, 384, 348, 373, 269]"
7,[0.26415281],[0.27312164],[0.],"[228, 333, 230, 235, 234, 359, 306, 348, 384, 358]"
8,[0.26761571],[0.27336484],[0.],"[234, 333, 230, 235, 228, 348, 306, 384, 359, 358]"
9,[0.27042561],[0.27358823],[0.25854906],"[228, 333, 230, 235, 234, 348, 306, 384, 359, 358]"
10,[0.27088877],[0.27358823],[0.],"[228, 333, 230, 235, 234, 348, 306, 384, 359, 358]"
11,[0.27141592],[0.27432737],[0.],"[235, 333, 230, 228, 234, 348, 384, 359, 358, 373]"
12,[0.27107878],[0.27442763],[0.],"[235, 333, 230, 228, 234, 348, 358, 384, 359, 373]"
13,[0.27313477],[0.27450437],[0.26483788],"[235, 333, 230, 228, 234, 348, 358, 384, 359, 396]"
14,[0.2729873],[0.27456419],[0.],"[228, 333, 230, 235, 234, 348, 358, 384, 359, 396]"
15,[0.27396038],[0.27456419],[0.25818788],"[228, 333, 230, 235, 234, 348, 358, 384, 359, 396]"
16,[0.27402381],[0.27456419],[0.26572709],"[228, 333, 230, 235, 234, 348, 358, 384, 359, 396]"
17,[0.27407718],[0.27456419],[0.26906652],"[228, 333, 230, 235, 234, 348, 358, 384, 359, 396]"
18,[0.27415599],[0.27456419],[0.26906652],"[228, 333, 230, 235, 234, 348, 358, 384, 359, 396]"
