Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16058982],[0.19364594],[0.12647362],"[226, 296, 227, 393, 233, 427, 371, 308, 84, 373]"
2,[0.19498279],[0.21084008],[0.17573503],"[226, 326, 332, 228, 227, 295, 370, 308, 84, 373]"
3,[0.20853544],[0.21530295],[0.19521898],"[227, 226, 332, 228, 308, 326, 371, 331, 373, 84]"
4,[0.21573264],[0.22176137],[0.20524258],"[226, 334, 332, 228, 227, 295, 371, 308, 249, 349]"
5,[0.22276886],[0.22809207],[0.21172461],"[226, 334, 227, 228, 233, 295, 371, 308, 249, 349]"
6,[0.22345717],[0.23376047],[0.],"[227, 233, 249, 228, 226, 295, 349, 308, 332, 371]"
7,[0.22285547],[0.23376047],[0.],"[227, 233, 249, 228, 226, 295, 349, 308, 332, 371]"
8,[0.22827276],[0.2351054],[0.],"[249, 233, 228, 334, 227, 226, 371, 332, 308, 349]"
9,[0.22848815],[0.23531442],[0.],"[249, 233, 228, 334, 227, 226, 349, 308, 332, 371]"
10,[0.23082337],[0.23581602],[0.],"[249, 233, 228, 334, 227, 226, 349, 332, 308, 371]"
11,[0.23213214],[0.23581602],[0.],"[249, 233, 228, 334, 227, 226, 349, 332, 308, 371]"
12,[0.23329311],[0.23581602],[0.2205007],"[249, 233, 228, 334, 227, 226, 349, 332, 308, 371]"
13,[0.23342294],[0.23736303],[0.],"[227, 233, 226, 249, 228, 332, 334, 349, 308, 371]"
14,[0.22698489],[0.23736303],[0.],"[227, 233, 226, 249, 228, 332, 334, 349, 308, 371]"
15,[0.22439747],[0.23736303],[0.],"[227, 233, 226, 249, 228, 332, 334, 349, 308, 371]"
16,[0.22933585],[0.23736303],[0.],"[227, 233, 226, 249, 228, 332, 334, 349, 308, 371]"
17,[0.2319196],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
18,[0.22704919],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
19,[0.23245677],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
20,[0.22986974],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
21,[0.22978461],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
22,[0.23258014],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
23,[0.23298152],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
24,[0.23415475],[0.2373928],[0.],"[227, 226, 249, 228, 233, 332, 334, 349, 308, 371]"
25,[0.23330712],[0.23750548],[0.],"[227, 233, 228, 249, 226, 332, 334, 308, 349, 371]"
26,[0.23234232],[0.23755292],[0.],"[227, 233, 228, 249, 226, 332, 334, 349, 308, 371]"
27,[0.23577815],[0.23758084],[0.],"[249, 227, 233, 228, 226, 332, 334, 349, 308, 371]"
28,[0.23674544],[0.23761075],[0.21745543],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
29,[0.23711963],[0.23761075],[0.23406243],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
30,[0.23724538],[0.23761075],[0.23130858],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
31,[0.23727016],[0.23761075],[0.22917004],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
32,[0.23716998],[0.23761075],[0.22716733],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
33,[0.2372476],[0.23761075],[0.23024218],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
34,[0.23719982],[0.23761075],[0.22752802],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
35,[0.23713066],[0.23761075],[0.22331455],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
36,[0.23727216],[0.23761075],[0.22158994],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
37,[0.23718117],[0.23761075],[0.22646337],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
38,[0.23734167],[0.23761075],[0.23173418],"[227, 249, 233, 228, 226, 332, 334, 349, 308, 371]"
