Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17100002],[0.19409377],[0.12829267],"[310, 215, 384, 294, 366, 297, 329, 185, 503, 514, 547]"
2,[0.20352474],[0.2194801],[0.17200236],"[256, 225, 228, 215, 297, 329, 185, 503, 265, 310, 380]"
3,[0.22626852],[0.24234895],[0.19918585],"[256, 225, 228, 215, 297, 329, 305, 306, 19, 310, 380]"
4,[0.24254047],[0.24874665],[0.2244639],"[256, 225, 228, 215, 297, 329, 305, 306, 265, 310, 380]"
5,[0.24796244],[0.25120509],[0.23835526],"[256, 225, 228, 215, 297, 298, 305, 306, 265, 310, 380]"
6,[0.2507168],[0.25389723],[0.24444793],"[305, 228, 225, 215, 297, 380, 310, 306, 265, 298, 256]"
7,[0.24282609],[0.25482473],[0.],"[305, 228, 225, 215, 297, 380, 310, 332, 265, 306, 256]"
8,[0.25042468],[0.25482473],[0.],"[305, 228, 225, 215, 297, 380, 310, 332, 265, 306, 256]"
9,[0.25335643],[0.25559332],[0.24468339],"[305, 228, 225, 215, 297, 380, 310, 332, 298, 306, 256]"
10,[0.25184163],[0.25559332],[0.],"[305, 228, 225, 215, 297, 380, 310, 332, 298, 306, 256]"
11,[0.25430852],[0.25559332],[0.24848073],"[305, 228, 225, 215, 297, 380, 310, 332, 298, 306, 256]"
12,[0.25458081],[0.25559332],[0.23858147],"[305, 228, 225, 215, 297, 380, 310, 332, 298, 306, 256]"
13,[0.25437862],[0.25725319],[0.],"[228, 297, 215, 225, 305, 310, 332, 380, 256, 306, 298]"
14,[0.25332993],[0.25737159],[0.],"[228, 305, 225, 215, 297, 310, 332, 380, 256, 306, 298]"
15,[0.25493937],[0.25738844],[0.],"[228, 305, 215, 225, 297, 310, 332, 380, 256, 306, 298]"
16,[0.25635593],[0.25744545],[0.24225519],"[228, 215, 225, 297, 332, 305, 310, 380, 306, 298, 256]"
17,[0.25321462],[0.25806364],[0.],"[228, 215, 225, 297, 332, 305, 310, 256, 306, 380, 298]"
18,[0.25439087],[0.25806364],[0.],"[228, 215, 225, 297, 332, 305, 310, 256, 306, 380, 298]"
19,[0.25456383],[0.25806364],[0.],"[228, 215, 225, 297, 332, 305, 310, 256, 306, 380, 298]"
20,[0.25535357],[0.25830102],[0.],"[228, 215, 225, 297, 305, 310, 332, 256, 306, 380, 298]"
21,[0.25614138],[0.2583461],[0.],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
22,[0.25733965],[0.2583461],[0.24597757],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
23,[0.25778437],[0.2583461],[0.24479074],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
24,[0.25796734],[0.2583461],[0.24729019],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
25,[0.2580137],[0.2583461],[0.25286584],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
26,[0.25797634],[0.2583461],[0.25228726],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
27,[0.2580257],[0.2583461],[0.25296144],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
28,[0.25802142],[0.2583461],[0.25401445],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
29,[0.25794963],[0.2583461],[0.24691851],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
30,[0.25800301],[0.2583461],[0.25083305],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
31,[0.25803572],[0.2583461],[0.25247178],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
32,[0.25804003],[0.2583461],[0.25210995],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
33,[0.25809363],[0.2583461],[0.25280003],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
34,[0.25787241],[0.2583461],[0.2498686],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
35,[0.25792872],[0.2583461],[0.25013397],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
36,[0.25788821],[0.2583461],[0.24948789],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
37,[0.257884],[0.2583461],[0.24710681],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
38,[0.25795481],[0.2583461],[0.25286707],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
39,[0.25801558],[0.2583461],[0.25293279],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
40,[0.25787819],[0.2583461],[0.25016501],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
41,[0.25796807],[0.2583461],[0.2477793],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
42,[0.25790588],[0.2583461],[0.24944545],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
43,[0.2579321],[0.2583461],[0.25249998],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
44,[0.25798225],[0.2583461],[0.25191704],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
45,[0.25804706],[0.2583461],[0.25468902],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
46,[0.2579783],[0.2583461],[0.24981785],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
47,[0.25801049],[0.2583461],[0.25199383],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
48,[0.25800962],[0.2583461],[0.2483478],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
49,[0.25805601],[0.2583461],[0.25324856],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
50,[0.25808908],[0.2583461],[0.25324856],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
51,[0.2581362],[0.2583461],[0.25376192],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
52,[0.25803025],[0.2583461],[0.25062022],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
53,[0.25799761],[0.2583461],[0.24853791],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
54,[0.25800224],[0.2583461],[0.25181699],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
55,[0.25800307],[0.2583461],[0.25177682],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
56,[0.25800126],[0.2583461],[0.25400214],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
57,[0.2580254],[0.2583461],[0.24980201],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
58,[0.25798593],[0.2583461],[0.24852334],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
59,[0.25796099],[0.2583461],[0.24907217],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
60,[0.25800058],[0.2583461],[0.24907217],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
61,[0.25795237],[0.2583461],[0.24805653],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
62,[0.2580264],[0.2583461],[0.24819589],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
63,[0.25801486],[0.2583461],[0.24688449],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
64,[0.25806534],[0.2583461],[0.25482386],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
65,[0.25805023],[0.2583461],[0.25066083],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
66,[0.25806406],[0.2583461],[0.25142518],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
67,[0.25801725],[0.2583461],[0.25320613],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
68,[0.25808282],[0.2583461],[0.25187978],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
69,[0.2580581],[0.2583461],[0.25027831],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
70,[0.25809573],[0.2583461],[0.25408095],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
71,[0.2580832],[0.2583461],[0.25325523],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
72,[0.2580967],[0.2583461],[0.25392173],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
73,[0.25811003],[0.2583461],[0.25243582],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
74,[0.25806714],[0.2583461],[0.25132419],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
75,[0.25810164],[0.2583461],[0.25448073],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
76,[0.25809499],[0.2583461],[0.24797729],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
77,[0.25806253],[0.2583461],[0.25120748],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
78,[0.25812003],[0.2583461],[0.25120748],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
79,[0.25805406],[0.2583461],[0.25278022],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
80,[0.25799558],[0.2583461],[0.24702551],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
81,[0.25800774],[0.2583461],[0.2519596],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
82,[0.25804258],[0.2583461],[0.25164775],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
83,[0.25808238],[0.2583461],[0.25395119],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
84,[0.25809707],[0.2583461],[0.25395119],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
85,[0.25809071],[0.2583461],[0.25359808],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
86,[0.25807438],[0.2583461],[0.25409269],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
87,[0.25807578],[0.2583461],[0.25478671],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 380, 298]"
88,[0.25806573],[0.2584423],[0.25125735],"[228, 215, 225, 305, 297, 332, 310, 256, 306, 298, 380]"
89,[0.25811023],[0.25844628],[0.25192755],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
90,[0.25814371],[0.25844628],[0.25192755],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
91,[0.25819237],[0.25844628],[0.25192755],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
92,[0.25813369],[0.25844628],[0.24810783],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
93,[0.25822983],[0.25844628],[0.25211014],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
94,[0.2581868],[0.25844628],[0.24824545],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
95,[0.25820987],[0.25844628],[0.25246873],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
96,[0.25823777],[0.25844628],[0.2517074],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
97,[0.25821759],[0.25844628],[0.25184751],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
98,[0.25815866],[0.25844628],[0.24879749],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
99,[0.25822366],[0.25844628],[0.25099838],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
100,[0.258177],[0.25844628],[0.25188319],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
101,[0.25813886],[0.25844628],[0.25139147],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
102,[0.25823986],[0.25844628],[0.25308099],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
103,[0.25821176],[0.25844628],[0.25210507],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
104,[0.25827222],[0.25844628],[0.24674819],"[228, 215, 225, 305, 297, 310, 332, 256, 306, 298, 380]"
