Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16031029],[0.17970402],[0.1224368],"[224, 257, 392, 297, 267, 299, 381, 243, 346, 476, 445]"
2,[0.18029318],[0.1865171],[0.16222817],"[392, 257, 224, 243, 299, 267, 274, 297, 300, 346, 445]"
3,[0.18657188],[0.19140985],[0.1769204],"[392, 257, 224, 243, 234, 299, 274, 297, 300, 346, 445]"
4,[0.19023811],[0.19228563],[0.18136805],"[224, 257, 392, 243, 234, 299, 274, 297, 300, 346, 149]"
5,[0.19208586],[0.19427395],[0.185413],"[224, 257, 392, 243, 234, 299, 334, 297, 300, 346, 149]"
6,[0.19310417],[0.19503259],[0.17411503],"[224, 234, 392, 243, 297, 299, 334, 338, 346, 257, 149]"
7,[0.19192221],[0.19512701],[0.],"[224, 234, 243, 300, 297, 299, 334, 338, 346, 257, 149]"
8,[0.19349715],[0.19512701],[0.],"[224, 234, 243, 300, 297, 299, 334, 338, 346, 257, 149]"
9,[0.19432472],[0.19512701],[0.18572067],"[224, 234, 243, 300, 297, 299, 334, 338, 346, 257, 149]"
10,[0.1948147],[0.19596026],[0.18940342],"[224, 234, 243, 300, 297, 299, 334, 242, 346, 257, 149]"
11,[0.1952569],[0.19647641],[0.17539388],"[242, 243, 297, 234, 224, 299, 392, 334, 346, 257, 149]"
12,[0.19568579],[0.19718984],[0.18681189],"[242, 243, 234, 338, 224, 299, 392, 334, 346, 257, 149]"
13,[0.19521104],[0.19718984],[0.],"[242, 243, 234, 338, 224, 299, 392, 334, 346, 257, 149]"
14,[0.19622228],[0.19718984],[0.19343726],"[242, 243, 234, 338, 224, 299, 392, 334, 346, 257, 149]"
15,[0.19189352],[0.19718984],[0.],"[242, 243, 234, 338, 224, 299, 392, 334, 346, 257, 149]"
16,[0.19657469],[0.19718984],[0.18375004],"[242, 243, 234, 338, 224, 299, 392, 334, 346, 257, 149]"
17,[0.19681679],[0.19732746],[0.19436859],"[242, 243, 234, 346, 224, 392, 299, 257, 300, 338, 149]"
18,[0.19508228],[0.19744538],[0.],"[242, 243, 234, 346, 224, 392, 299, 257, 334, 338, 149]"
19,[0.19706095],[0.19746716],[0.18654087],"[242, 243, 234, 346, 224, 257, 392, 338, 334, 299, 149]"
20,[0.19715378],[0.19746716],[0.18654087],"[242, 243, 234, 346, 224, 257, 392, 338, 334, 299, 149]"
21,[0.19727905],[0.19761182],[0.18654087],"[243, 242, 234, 346, 224, 334, 338, 257, 392, 299, 149]"
22,[0.19623453],[0.19764808],[0.],"[243, 242, 234, 346, 224, 257, 392, 338, 334, 299, 149]"
23,[0.19727343],[0.19766259],[0.18507282],"[243, 242, 234, 346, 224, 257, 392, 334, 299, 338, 149]"
24,[0.19728137],[0.19766259],[0.17593667],"[243, 242, 234, 346, 224, 257, 392, 334, 299, 338, 149]"
25,[0.19729744],[0.19766259],[0.18565129],"[243, 242, 234, 346, 224, 257, 392, 334, 299, 338, 149]"
26,[0.19742876],[0.19766259],[0.19087277],"[243, 242, 234, 346, 224, 257, 392, 334, 299, 338, 149]"
27,[0.19692821],[0.19770144],[0.],"[243, 224, 234, 346, 242, 257, 392, 334, 299, 338, 149]"
28,[0.19661917],[0.19770144],[0.],"[243, 224, 234, 346, 242, 257, 392, 334, 299, 338, 149]"
29,[0.19743128],[0.19770144],[0.17908098],"[243, 224, 234, 346, 242, 257, 392, 334, 299, 338, 149]"
30,[0.1970331],[0.19780273],[0.],"[243, 224, 234, 242, 346, 299, 392, 338, 257, 334, 149]"
31,[0.19737461],[0.19786629],[0.17308945],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
32,[0.19757704],[0.19786629],[0.19141881],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
33,[0.1975702],[0.19786629],[0.18508229],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
34,[0.19750892],[0.19786629],[0.1791803],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
35,[0.19760501],[0.19786629],[0.18825232],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
36,[0.1975318],[0.19786629],[0.18412763],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
37,[0.19751795],[0.19786629],[0.18152064],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
38,[0.19745208],[0.19786629],[0.17890108],"[243, 224, 234, 242, 346, 257, 392, 334, 299, 338, 149]"
