Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.2191888],[0.25944961],[0.16230251],"[248, 354, 260, 325, 70, 265, 234, 299, 338, 562]"
2,[0.25429201],[0.27699735],[0.22562241],"[248, 354, 260, 228, 326, 265, 234, 299, 338, 562]"
3,[0.27405507],[0.28472356],[0.25462429],"[248, 225, 260, 228, 330, 397, 234, 299, 338, 562]"
4,[0.28443455],[0.28913615],[0.27649618],"[248, 225, 260, 325, 235, 269, 234, 299, 338, 57]"
5,[0.28904229],[0.2912367],[0.28200847],"[299, 235, 260, 387, 225, 265, 234, 248, 338, 562]"
6,[0.28866114],[0.29299061],[0.],"[299, 235, 260, 387, 225, 265, 234, 248, 338, 57]"
7,[0.28943951],[0.29364403],[0.],"[225, 235, 387, 299, 248, 260, 234, 265, 338, 57]"
8,[0.2861228],[0.29458957],[0.],"[299, 235, 248, 387, 225, 260, 234, 265, 338, 57]"
9,[0.29134969],[0.29458957],[0.26816969],"[299, 235, 248, 387, 225, 260, 234, 265, 338, 57]"
10,[0.29220859],[0.29458957],[0.27903648],"[299, 235, 248, 387, 225, 260, 234, 265, 338, 57]"
11,[0.29185006],[0.29463652],[0.],"[299, 387, 248, 235, 225, 234, 260, 265, 338, 57]"
12,[0.29138345],[0.29522435],[0.],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
13,[0.29355647],[0.29522435],[0.27524991],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
14,[0.29373395],[0.29522435],[0.27762538],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
15,[0.29390782],[0.29522435],[0.28039714],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
16,[0.29399054],[0.29522435],[0.28758281],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
17,[0.29392323],[0.29522435],[0.27680806],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
18,[0.29409189],[0.29522435],[0.28178244],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
19,[0.29428551],[0.29522435],[0.2753707],"[299, 387, 248, 235, 225, 260, 234, 265, 338, 57]"
20,[0.29428121],[0.29562602],[0.28471997],"[299, 387, 248, 235, 225, 260, 234, 338, 265, 57]"
21,[0.29460112],[0.29562602],[0.28247754],"[299, 387, 248, 235, 225, 260, 234, 338, 265, 57]"
22,[0.29395628],[0.29564854],[0.],"[299, 387, 248, 235, 260, 234, 225, 338, 265, 57]"
23,[0.29461083],[0.29614111],[0.2715928],"[387, 299, 248, 260, 235, 225, 234, 338, 265, 57]"
24,[0.29330815],[0.29615079],[0.],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
25,[0.2952704],[0.29615079],[0.2712073],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
26,[0.2955295],[0.29615079],[0.29273619],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
27,[0.29557694],[0.29615079],[0.28300553],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
28,[0.29552335],[0.29615079],[0.28399845],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
29,[0.29549223],[0.29615079],[0.27876173],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
30,[0.29553453],[0.29615079],[0.27919203],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
31,[0.29560586],[0.29615079],[0.28077554],"[299, 387, 248, 260, 235, 225, 234, 338, 265, 57]"
32,[0.29576116],[0.2963757],[0.29134485],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
33,[0.29559125],[0.2963757],[0.28403886],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
34,[0.29542479],[0.2963757],[0.28218913],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
35,[0.29541265],[0.2963757],[0.2783955],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
36,[0.29567672],[0.2963757],[0.28637309],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
37,[0.29560828],[0.2963757],[0.27396026],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
38,[0.29560974],[0.2963757],[0.26476437],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
39,[0.2957792],[0.2963757],[0.28681468],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
40,[0.29570512],[0.2963757],[0.28641034],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
41,[0.29559534],[0.2963757],[0.27649789],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
42,[0.29566406],[0.2963757],[0.28314061],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
43,[0.29505605],[0.2963757],[0.],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
44,[0.29517516],[0.2963757],[0.],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
45,[0.29563575],[0.2963757],[0.27685723],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
46,[0.29579377],[0.2963757],[0.27866377],"[299, 387, 260, 235, 225, 248, 234, 338, 265, 57]"
47,[0.29593005],[0.29643098],[0.27592198],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
48,[0.29607694],[0.29643098],[0.29013287],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
49,[0.29612915],[0.29643098],[0.2836187],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
50,[0.29603718],[0.29643098],[0.27791039],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
51,[0.29608088],[0.29643098],[0.2831281],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
52,[0.29615157],[0.29643098],[0.2915796],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
53,[0.29611121],[0.29643098],[0.28384613],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
54,[0.29598849],[0.29643098],[0.27294933],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
55,[0.29607744],[0.29643098],[0.28765369],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
56,[0.29582287],[0.29643098],[0.27064842],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
57,[0.29589578],[0.29643098],[0.27888014],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
58,[0.29608762],[0.29643098],[0.29103901],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
59,[0.29610879],[0.29643098],[0.28037007],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
60,[0.29606976],[0.29643098],[0.27750717],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
61,[0.29612274],[0.29643098],[0.28601402],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
62,[0.29610994],[0.29643098],[0.28420266],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
63,[0.29609116],[0.29643098],[0.27119996],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
64,[0.29608827],[0.29643098],[0.27416884],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
65,[0.29615094],[0.29643098],[0.28365242],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
66,[0.29614987],[0.29643098],[0.28383018],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
67,[0.2962362],[0.29643098],[0.28583351],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
68,[0.29616122],[0.29643098],[0.28244998],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
69,[0.29621877],[0.29643098],[0.28626394],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
70,[0.29610098],[0.29643098],[0.27824099],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
71,[0.29611951],[0.29643098],[0.26994298],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
72,[0.29616642],[0.29643098],[0.26994298],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
73,[0.29618488],[0.29643098],[0.28932936],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
74,[0.29613325],[0.29643098],[0.28146151],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
75,[0.29598263],[0.29643098],[0.2851483],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
76,[0.29603403],[0.29643098],[0.285423],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
77,[0.29609161],[0.29643098],[0.28661112],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
78,[0.29615202],[0.29643098],[0.28671822],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
79,[0.29616757],[0.29643098],[0.28725481],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
80,[0.29612452],[0.29643098],[0.28204398],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
81,[0.29619821],[0.29643098],[0.28822958],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
82,[0.29619078],[0.29643098],[0.28973187],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
83,[0.29621237],[0.29643098],[0.2883719],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
84,[0.29620226],[0.29643098],[0.2836721],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
85,[0.29618161],[0.29643098],[0.28624354],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
86,[0.2962057],[0.29643098],[0.28572411],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
87,[0.2961304],[0.29643098],[0.28678592],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
88,[0.29613494],[0.29643098],[0.28443524],"[299, 387, 260, 235, 248, 225, 234, 338, 265, 57]"
