Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20301327],[0.24048356],[0.16049422],"[257, 260, 296, 203, 301, 302, 304, 628, 412, 31]"
2,[0.24225038],[0.27317657],[0.20123586],"[257, 259, 260, 217, 230, 302, 304, 628, 412, 31]"
3,[0.27172874],[0.29262651],[0.24750642],"[257, 259, 260, 217, 230, 302, 304, 308, 117, 31]"
4,[0.28930514],[0.2967725],[0.27414921],"[260, 257, 259, 308, 117, 302, 304, 217, 301, 411]"
5,[0.29294712],[0.29881638],[0.28196342],"[257, 259, 260, 308, 117, 302, 304, 217, 301, 339]"
6,[0.29482036],[0.30108119],[0.24566231],"[257, 259, 260, 308, 337, 302, 304, 217, 301, 339]"
7,[0.2987568],[0.30573914],[0.25710521],"[257, 259, 260, 308, 337, 302, 304, 117, 230, 339]"
8,[0.302578],[0.30770344],[0.29153028],"[257, 259, 260, 308, 337, 268, 304, 117, 230, 339]"
9,[0.30586191],[0.30899391],[0.28363285],"[260, 259, 257, 308, 337, 268, 304, 117, 230, 339]"
10,[0.3069849],[0.30899391],[0.30035934],"[260, 259, 257, 308, 337, 268, 304, 117, 230, 339]"
11,[0.30725201],[0.30899391],[0.28912069],"[260, 259, 257, 308, 337, 268, 304, 117, 230, 339]"
12,[0.30744826],[0.30899391],[0.29543084],"[260, 259, 257, 308, 337, 268, 304, 117, 230, 339]"
13,[0.30769409],[0.30899391],[0.29442464],"[260, 259, 257, 308, 337, 268, 304, 117, 230, 339]"
14,[0.30775189],[0.30899391],[0.2961947],"[260, 259, 257, 308, 337, 268, 304, 117, 230, 339]"
15,[0.30791873],[0.30966081],[0.2954799],"[260, 259, 257, 308, 337, 117, 304, 230, 268, 217]"
16,[0.30792864],[0.3098482],[0.26942607],"[260, 259, 257, 308, 337, 117, 304, 230, 268, 339]"
17,[0.30850814],[0.31029389],[0.29213904],"[260, 259, 257, 308, 304, 117, 337, 230, 268, 339]"
18,[0.30860547],[0.31029389],[0.2840526],"[260, 259, 257, 308, 304, 117, 337, 230, 268, 339]"
19,[0.30903615],[0.31029389],[0.2869356],"[260, 259, 257, 308, 304, 117, 337, 230, 268, 339]"
20,[0.30944475],[0.31041705],[0.29153613],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
21,[0.30861692],[0.31041705],[0.],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
22,[0.30941031],[0.31041705],[0.28885259],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
23,[0.30911047],[0.31041705],[0.2877101],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
24,[0.309217],[0.31041705],[0.28926253],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
25,[0.30943943],[0.31041705],[0.28911889],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
26,[0.30969672],[0.31041705],[0.29587106],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
27,[0.3093319],[0.31041705],[0.27674724],"[260, 259, 257, 308, 337, 304, 230, 117, 268, 339]"
