Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.10515855],[0.13586304],[0.07378073],"[220, 630, 98, 150, 305, 269, 419, 469, 365, 477]"
2,[0.14277321],[0.18661967],[0.1017246],"[220, 228, 58, 287, 264, 233, 394, 568, 365, 477]"
3,[0.18440388],[0.20164937],[0.13412933],"[220, 228, 58, 269, 305, 295, 331, 267, 109, 174]"
4,[0.2027104],[0.21552942],[0.18178304],"[220, 228, 58, 269, 264, 233, 216, 349, 109, 174]"
5,[0.21497878],[0.22803768],[0.1907912],"[220, 109, 58, 269, 228, 233, 216, 267, 264, 477]"
6,[0.2209103],[0.22803768],[0.20290412],"[220, 109, 58, 269, 228, 233, 216, 267, 264, 477]"
7,[0.22112503],[0.23589896],[0.],"[220, 216, 233, 267, 109, 269, 58, 305, 264, 477]"
8,[0.22105119],[0.23589896],[0.],"[220, 216, 233, 267, 109, 269, 58, 305, 264, 477]"
9,[0.2288391],[0.23632507],[0.],"[220, 216, 233, 267, 109, 269, 58, 228, 264, 477]"
10,[0.23056346],[0.23827688],[0.],"[220, 216, 58, 269, 267, 228, 109, 305, 264, 233]"
11,[0.23025541],[0.23827688],[0.],"[220, 216, 58, 269, 267, 228, 109, 305, 264, 233]"
12,[0.23186441],[0.23827688],[0.],"[220, 216, 58, 269, 267, 228, 109, 305, 264, 233]"
13,[0.23315931],[0.23827688],[0.],"[220, 216, 58, 269, 267, 228, 109, 305, 264, 233]"
14,[0.23199174],[0.23869291],[0.],"[220, 216, 264, 267, 109, 269, 58, 228, 305, 233]"
15,[0.23264297],[0.23946083],[0.],"[220, 216, 109, 228, 267, 269, 58, 305, 233, 264]"
16,[0.2322934],[0.23964463],[0.],"[220, 216, 109, 228, 267, 269, 58, 305, 264, 233]"
17,[0.23359787],[0.23964463],[0.],"[220, 216, 109, 228, 267, 269, 58, 305, 264, 233]"
18,[0.23593739],[0.24111594],[0.],"[220, 216, 109, 269, 267, 228, 58, 305, 264, 233]"
19,[0.23753246],[0.24111594],[0.18709293],"[220, 216, 109, 269, 267, 228, 58, 305, 264, 233]"
20,[0.23802879],[0.24111594],[0.18862627],"[220, 216, 109, 269, 267, 228, 58, 305, 264, 233]"
21,[0.23819936],[0.24111594],[0.19372312],"[220, 216, 109, 269, 267, 228, 58, 305, 264, 233]"
22,[0.23773439],[0.24139631],[0.],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
23,[0.23866913],[0.24139631],[0.],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
24,[0.2376348],[0.24139631],[0.],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
25,[0.23882306],[0.24139631],[0.],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
26,[0.23906141],[0.24139631],[0.18610606],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
27,[0.23898729],[0.24139631],[0.16646148],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
28,[0.23918637],[0.24139631],[0.16646148],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
29,[0.23934842],[0.24139631],[0.19139664],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
30,[0.239511],[0.24139631],[0.20239211],"[220, 216, 109, 269, 267, 228, 58, 264, 305, 233]"
31,[0.23937603],[0.24153177],[0.19014827],"[220, 216, 109, 269, 267, 58, 305, 228, 264, 233]"
32,[0.23880169],[0.24153177],[0.],"[220, 216, 109, 269, 267, 58, 305, 228, 264, 233]"
33,[0.23911204],[0.2416701],[0.],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
34,[0.23989944],[0.2416701],[0.19458771],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
35,[0.23985531],[0.2416701],[0.19065458],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
36,[0.23967782],[0.2416701],[0.21142718],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
37,[0.23914735],[0.2416701],[0.],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
38,[0.23974248],[0.2416701],[0.1971904],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
39,[0.23936889],[0.2416701],[0.],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
40,[0.23990066],[0.2416701],[0.19195224],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
41,[0.24025343],[0.2416701],[0.21936353],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
42,[0.24004984],[0.2416701],[0.],"[220, 216, 109, 269, 267, 58, 305, 264, 228, 233]"
