Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.10569726],[0.13787221],[0.07237447],"[248, 217, 261, 330, 239, 370, 215, 536, 569, 219, 92, 381, 383]"
2,[0.13716675],[0.16581196],[0.11106783],"[248, 217, 261, 213, 127, 216, 215, 120, 251, 30, 92, 381, 383]"
3,[0.16661512],[0.19188918],[0.12926106],"[217, 248, 213, 236, 235, 216, 215, 120, 251, 383, 401, 92, 219]"
4,[0.18923033],[0.21255462],[0.14974432],"[215, 217, 216, 251, 381, 281, 219, 536, 591, 567]"
5,[0.21339963],[0.25594551],[0.17344605],"[215, 217, 213, 220, 235, 216, 219, 536, 591, 567]"
6,[0.23871989],[0.26239817],[0.12825658],"[215, 217, 213, 220, 235, 216, 219, 120, 251, 567]"
7,[0.25795045],[0.2697184],[0.22917286],"[215, 216, 213, 220, 381, 219, 281, 229, 251, 30]"
8,[0.26470038],[0.27098599],[0.24711128],"[215, 216, 213, 220, 235, 219, 281, 229, 251, 30]"
9,[0.26685284],[0.27098599],[0.21539535],"[215, 216, 213, 220, 235, 219, 281, 229, 251, 30]"
10,[0.26872072],[0.27679267],[0.2098687],"[215, 216, 213, 220, 235, 219, 251, 248, 30, 536]"
11,[0.2706019],[0.27836713],[0.],"[215, 216, 213, 220, 235, 219, 251, 248, 281, 536]"
12,[0.2742718],[0.27845989],[0.22038211],"[215, 216, 213, 220, 235, 219, 251, 248, 281, 30]"
13,[0.27634091],[0.27953042],[0.24449625],"[215, 216, 213, 220, 381, 219, 251, 248, 281, 235]"
14,[0.27754365],[0.28108131],[0.25726715],"[215, 216, 213, 220, 381, 219, 251, 248, 235, 281]"
15,[0.27875838],[0.28370454],[0.24707464],"[215, 219, 213, 220, 216, 381, 248, 251, 235, 281]"
16,[0.27891796],[0.28396583],[0.],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
17,[0.27950488],[0.28396583],[0.],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
18,[0.28089898],[0.28396583],[0.23644064],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
19,[0.2820567],[0.28396583],[0.26248298],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
20,[0.28230127],[0.28396583],[0.24910859],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
21,[0.28213309],[0.28396583],[0.26025874],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
22,[0.28253453],[0.28396583],[0.26326849],"[215, 219, 213, 220, 216, 381, 251, 248, 235, 281]"
23,[0.28219159],[0.28449418],[0.23489714],"[215, 213, 216, 220, 219, 381, 251, 248, 235, 281]"
24,[0.28087836],[0.28449418],[0.],"[215, 213, 216, 220, 219, 381, 251, 248, 235, 281]"
25,[0.28238271],[0.28449418],[0.26288673],"[215, 213, 216, 220, 219, 381, 251, 248, 235, 281]"
26,[0.281573],[0.28449418],[0.],"[215, 213, 216, 220, 219, 381, 251, 248, 235, 281]"
27,[0.28273415],[0.28449418],[0.25145523],"[215, 213, 216, 220, 219, 381, 251, 248, 235, 281]"
28,[0.28297098],[0.2845185],[0.25297347],"[215, 213, 216, 219, 220, 381, 251, 248, 235, 281]"
29,[0.28308172],[0.28452059],[0.2045211],"[215, 213, 219, 216, 220, 381, 251, 248, 235, 281]"
30,[0.28353384],[0.2851523],[0.25555372],"[215, 213, 216, 219, 220, 235, 251, 248, 381, 281]"
31,[0.28361361],[0.28515438],[0.24572755],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
32,[0.28382479],[0.28515438],[0.25067694],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
33,[0.28404541],[0.28515438],[0.24954732],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
34,[0.28414279],[0.28515438],[0.2590726],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
35,[0.28443357],[0.28515438],[0.26772431],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
36,[0.28450006],[0.28515438],[0.25527466],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
37,[0.28429123],[0.28515438],[0.25885558],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
38,[0.28434807],[0.28515438],[0.25536378],"[215, 213, 219, 216, 220, 235, 251, 248, 381, 281]"
