Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.1041238],[0.14216618],[0.07066982],"[219, 215, 655, 396, 264, 163, 48, 338, 529, 81, 172]"
2,[0.14571939],[0.17487928],[0.09763998],"[309, 291, 216, 219, 214, 213, 43, 572, 380, 147]"
3,[0.18084702],[0.21546528],[0.14125202],"[309, 215, 216, 219, 214, 213, 43, 572, 380, 147]"
4,[0.2033828],[0.22712792],[0.16714572],"[309, 215, 216, 219, 214, 213, 237, 400, 380, 147]"
5,[0.21842755],[0.24099728],[0.19066619],"[215, 216, 219, 213, 309, 214, 43, 217, 90, 379]"
6,[0.23003091],[0.24988013],[0.],"[215, 216, 219, 213, 309, 214, 237, 400, 380, 379]"
7,[0.24478984],[0.25128549],[0.19513909],"[215, 216, 219, 213, 214, 309, 217, 400, 380, 379]"
8,[0.24888015],[0.25128549],[0.22680112],"[215, 216, 219, 213, 214, 309, 217, 400, 380, 379]"
9,[0.24947015],[0.25128549],[0.22435052],"[215, 216, 219, 213, 214, 309, 217, 400, 380, 379]"
10,[0.24974066],[0.25138779],[0.22327387],"[215, 216, 219, 213, 400, 309, 217, 214, 237, 379]"
11,[0.25000209],[0.25149631],[0.21074988],"[215, 216, 219, 213, 214, 309, 217, 400, 237, 379]"
12,[0.25065033],[0.25283157],[0.22122221],"[215, 216, 219, 213, 214, 380, 217, 400, 237, 379]"
13,[0.251249],[0.25363263],[0.18712244],"[215, 219, 213, 216, 214, 380, 217, 400, 237, 309]"
14,[0.251952],[0.25373347],[0.22568625],"[215, 219, 213, 216, 217, 400, 380, 214, 237, 379]"
15,[0.25194115],[0.25418932],[0.20618667],"[215, 219, 213, 216, 217, 214, 400, 380, 237, 309]"
16,[0.25225429],[0.25418932],[0.19929227],"[215, 219, 213, 216, 217, 214, 400, 380, 237, 309]"
17,[0.25287545],[0.25418932],[0.24129607],"[215, 219, 213, 216, 217, 214, 400, 380, 237, 309]"
18,[0.25308114],[0.25418932],[0.23399834],"[215, 219, 213, 216, 217, 214, 400, 380, 237, 309]"
19,[0.25254519],[0.25451899],[0.19851973],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
20,[0.25289579],[0.25451899],[0.],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
21,[0.25350773],[0.25451899],[0.15963635],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
22,[0.2536256],[0.25451899],[0.18525188],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
23,[0.25357994],[0.25451899],[0.20522505],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
24,[0.25387204],[0.25451899],[0.23481893],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
25,[0.25386499],[0.25451899],[0.23753522],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
26,[0.25318749],[0.25451899],[0.],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
27,[0.2538859],[0.25451899],[0.24241566],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
28,[0.25385488],[0.25451899],[0.20137565],"[215, 213, 219, 216, 217, 214, 400, 380, 237, 309]"
29,[0.25407774],[0.25460225],[0.22461906],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
30,[0.25390177],[0.25460225],[0.22325894],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
31,[0.25417718],[0.25460225],[0.24729195],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
32,[0.25414698],[0.25460225],[0.22949231],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
33,[0.25407583],[0.25460225],[0.23603199],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
34,[0.25426449],[0.25460225],[0.24284201],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
35,[0.253946],[0.25460225],[0.2182673],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
36,[0.2540386],[0.25460225],[0.22742109],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
37,[0.25363634],[0.25460225],[0.2164662],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
38,[0.25389722],[0.25460225],[0.21932197],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
39,[0.25408619],[0.25460225],[0.22756048],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
40,[0.25408731],[0.25460225],[0.23101867],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
41,[0.25418416],[0.25460225],[0.23647697],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
42,[0.25418193],[0.25460225],[0.23065651],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
43,[0.25394995],[0.25460225],[0.22410575],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
44,[0.253829],[0.25460225],[0.22410575],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
45,[0.25408968],[0.25460225],[0.23337354],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
46,[0.25405652],[0.25460225],[0.21559664],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
47,[0.25424674],[0.25460225],[0.23723879],"[215, 213, 219, 216, 400, 214, 217, 380, 237, 309]"
48,[0.25395508],[0.25463843],[0.22511684],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
49,[0.25410211],[0.25463843],[0.23649828],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
50,[0.25390925],[0.25463843],[0.21876076],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
51,[0.25425642],[0.25463843],[0.23148933],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
52,[0.25414197],[0.25463843],[0.22554454],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
53,[0.25418184],[0.25463843],[0.22629362],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
54,[0.25403302],[0.25463843],[0.2232398],"[215, 213, 219, 216, 214, 400, 217, 380, 237, 309]"
55,[0.25423327],[0.2546984],[0.22162706],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 379]"
56,[0.25426712],[0.25474384],[0.22162706],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
57,[0.25448458],[0.25474384],[0.23316957],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
58,[0.25436117],[0.25474384],[0.2274997],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
59,[0.25446775],[0.25474384],[0.23391579],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
60,[0.25434677],[0.25474384],[0.23464939],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
61,[0.25440069],[0.25474384],[0.23615696],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
62,[0.25410719],[0.25474384],[0.22404336],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
63,[0.25430954],[0.25474384],[0.22535736],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
64,[0.25412547],[0.25474384],[0.19817057],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
65,[0.25432491],[0.25474384],[0.23882355],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
66,[0.25414754],[0.25474384],[0.21641171],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
67,[0.25441894],[0.25474384],[0.24123017],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
68,[0.25410159],[0.25474384],[0.2263334],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
69,[0.254354],[0.25474384],[0.23577683],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
70,[0.25449184],[0.25474384],[0.24003872],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
71,[0.25401137],[0.25474384],[0.22353258],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
72,[0.25392189],[0.25474384],[0.22267438],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
73,[0.25406708],[0.25474384],[0.21989318],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
74,[0.25440025],[0.25474384],[0.23694251],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
75,[0.2544488],[0.25474384],[0.22428472],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
76,[0.25447716],[0.25474384],[0.24288467],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
77,[0.25439479],[0.25474384],[0.22766698],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
78,[0.2544236],[0.25474384],[0.22212333],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
79,[0.25448384],[0.25474384],[0.25143588],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
80,[0.25444209],[0.25474384],[0.2330135],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
81,[0.25440964],[0.25474384],[0.2330135],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
82,[0.25448727],[0.25474384],[0.23701722],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
83,[0.25454008],[0.25474384],[0.23968677],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
84,[0.25458791],[0.25474384],[0.24867358],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
85,[0.25445914],[0.25474384],[0.22031169],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
86,[0.25449045],[0.25474384],[0.21619085],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
87,[0.25429697],[0.25474384],[0.22867331],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
88,[0.25427412],[0.25474384],[0.22821875],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
89,[0.2544633],[0.25474384],[0.24213295],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
90,[0.2542254],[0.25474384],[0.21901892],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
91,[0.25425795],[0.25474384],[0.22408522],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
92,[0.25445945],[0.25474384],[0.22865247],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
93,[0.25436099],[0.25474384],[0.22865247],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
94,[0.25433748],[0.25474384],[0.23038044],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
95,[0.25444326],[0.25474384],[0.22759107],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
96,[0.25446166],[0.25474384],[0.24116428],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
97,[0.2542746],[0.25474384],[0.22767915],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
98,[0.25443758],[0.25474384],[0.24116428],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
99,[0.25438645],[0.25474384],[0.23045903],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
100,[0.254245],[0.25474384],[0.21630532],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
101,[0.25438848],[0.25474384],[0.22670606],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
102,[0.25434569],[0.25474384],[0.22525842],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
103,[0.25411551],[0.25474384],[0.22674394],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
104,[0.25436302],[0.25474384],[0.23171224],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
105,[0.25450279],[0.25474384],[0.23637991],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
106,[0.25452782],[0.25474384],[0.23042844],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
107,[0.25441924],[0.25474384],[0.2376703],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
108,[0.25450009],[0.25474384],[0.23737299],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
109,[0.254556],[0.25474384],[0.23469508],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
110,[0.2541395],[0.25474384],[0.22715272],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
111,[0.25437515],[0.25474384],[0.23469508],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
112,[0.25456519],[0.25474384],[0.24995011],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
113,[0.2542841],[0.25474384],[0.2232376],"[215, 213, 219, 216, 214, 400, 217, 237, 380, 309]"
