Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.13116156],[0.16999591],[0.10289183],"[392, 361, 300, 236, 294, 249, 405, 343, 284, 445]"
2,[0.16678737],[0.18372964],[0.13369091],"[299, 332, 324, 235, 320, 588, 334, 302, 509, 223]"
3,[0.19247295],[0.21392217],[0.16933116],"[392, 299, 235, 236, 294, 249, 334, 302, 272, 561]"
4,[0.20997459],[0.21649375],[0.19222769],"[392, 299, 235, 236, 294, 249, 334, 302, 245, 87]"
5,[0.21640185],[0.22074657],[0.20975383],"[249, 245, 294, 392, 235, 302, 334, 236, 299, 87]"
6,[0.21167044],[0.22246006],[0.],"[249, 245, 294, 392, 235, 302, 334, 236, 299, 223]"
7,[0.20367648],[0.22246006],[0.],"[249, 245, 294, 392, 235, 302, 334, 236, 299, 223]"
8,[0.20747052],[0.22246006],[0.],"[249, 245, 294, 392, 235, 302, 334, 236, 299, 223]"
9,[0.2063699],[0.22246006],[0.],"[249, 245, 294, 392, 235, 302, 334, 236, 299, 223]"
10,[0.21242455],[0.22246006],[0.],"[249, 245, 294, 392, 235, 302, 334, 236, 299, 223]"
11,[0.21249624],[0.22258594],[0.],"[249, 245, 392, 299, 235, 302, 334, 236, 294, 223]"
12,[0.21331482],[0.22258594],[0.],"[249, 245, 392, 299, 235, 302, 334, 236, 294, 223]"
13,[0.21646219],[0.22261988],[0.],"[245, 249, 392, 299, 235, 302, 334, 236, 294, 223]"
14,[0.21988994],[0.22261988],[0.],"[245, 249, 392, 299, 235, 302, 334, 236, 294, 223]"
15,[0.22044576],[0.22311919],[0.],"[249, 245, 235, 294, 236, 299, 392, 334, 302, 223]"
16,[0.2186263],[0.22315313],[0.],"[245, 249, 235, 294, 236, 299, 392, 334, 302, 223]"
17,[0.21910033],[0.22315313],[0.],"[245, 249, 235, 294, 236, 299, 392, 334, 302, 223]"
18,[0.22051144],[0.22332292],[0.],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
19,[0.21796474],[0.22332292],[0.],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
20,[0.21949241],[0.22332292],[0.],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
21,[0.22244619],[0.22332292],[0.20729382],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
22,[0.22231017],[0.22332292],[0.],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
23,[0.22294537],[0.22332292],[0.20476281],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
24,[0.22262131],[0.22332292],[0.],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
25,[0.22315337],[0.22332292],[0.21052411],"[245, 249, 235, 392, 302, 299, 294, 334, 236, 223]"
26,[0.22213891],[0.22333557],[0.],"[245, 249, 235, 392, 299, 294, 334, 236, 302, 223]"
27,[0.22261674],[0.22334788],[0.],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
28,[0.22303579],[0.22334788],[0.20244513],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
29,[0.22308525],[0.22334788],[0.20671878],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
30,[0.22319715],[0.22334788],[0.21727192],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
31,[0.22317107],[0.22334788],[0.21930707],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
32,[0.22295704],[0.22334788],[0.20456716],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
33,[0.22308782],[0.22334788],[0.20676563],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
34,[0.22313808],[0.22334788],[0.21121845],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
35,[0.22300412],[0.22334788],[0.21234968],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
36,[0.22317709],[0.22334788],[0.21359261],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
37,[0.22320924],[0.22334788],[0.21308211],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
38,[0.22316188],[0.22334788],[0.20067592],"[245, 249, 235, 392, 299, 294, 302, 334, 236, 223]"
39,[0.22317005],[0.22335631],[0.208024],"[245, 235, 249, 299, 302, 334, 392, 294, 236, 223]"
40,[0.22258334],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
41,[0.22275246],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
42,[0.22175566],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
43,[0.22259462],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
44,[0.22129944],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
45,[0.22270018],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
46,[0.22303178],[0.22338418],[0.20374742],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
47,[0.22309994],[0.22338418],[0.20725769],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
48,[0.22316893],[0.22338418],[0.20716259],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
49,[0.22322858],[0.22338418],[0.21835072],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
50,[0.2228088],[0.22338418],[0.],"[245, 249, 235, 299, 302, 334, 392, 294, 236, 223]"
51,[0.22319806],[0.22339185],[0.2024482],"[245, 249, 235, 392, 299, 334, 302, 294, 236, 223]"
52,[0.22328787],[0.22340536],[0.21671238],"[245, 249, 235, 299, 392, 334, 302, 294, 236, 223]"
53,[0.22327712],[0.22340536],[0.21247519],"[245, 249, 235, 299, 392, 334, 302, 294, 236, 223]"
54,[0.22328558],[0.22340536],[0.21388461],"[245, 249, 235, 299, 392, 334, 302, 294, 236, 223]"
55,[0.22334037],[0.22340703],[0.22049653],"[245, 249, 235, 299, 334, 302, 392, 294, 236, 223]"
56,[0.22332492],[0.22340703],[0.21964641],"[245, 249, 235, 299, 334, 302, 392, 294, 236, 223]"
57,[0.22333847],[0.22340703],[0.21739699],"[245, 249, 235, 299, 334, 302, 392, 294, 236, 223]"
58,[0.22328858],[0.22341762],[0.21339632],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
59,[0.22332216],[0.22341762],[0.21832996],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
60,[0.22336423],[0.22341762],[0.22160747],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
61,[0.22291265],[0.22341762],[0.],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
62,[0.22336842],[0.22341762],[0.21983896],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
63,[0.22331793],[0.22341762],[0.21756424],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
64,[0.22335335],[0.22341762],[0.22155306],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
65,[0.22336336],[0.22341762],[0.22093457],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
66,[0.22331798],[0.22341762],[0.21011066],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
67,[0.22334287],[0.22341762],[0.21631111],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
68,[0.22335036],[0.22341762],[0.21979121],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
69,[0.22330461],[0.22341762],[0.21933296],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
70,[0.22331165],[0.22341762],[0.21895325],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
71,[0.22322834],[0.22341762],[0.2166123],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
72,[0.22326418],[0.22341762],[0.20773602],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
73,[0.22326506],[0.22341762],[0.21268459],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
74,[0.2233271],[0.22341762],[0.21752462],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
75,[0.22333258],[0.22341762],[0.21870669],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
76,[0.22330748],[0.22341762],[0.21853806],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
77,[0.22330045],[0.22341762],[0.21777506],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
78,[0.22325073],[0.22341762],[0.21383345],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
79,[0.22330529],[0.22341762],[0.21616782],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
80,[0.22330723],[0.22341762],[0.21839984],"[245, 249, 235, 299, 334, 392, 302, 294, 236, 223]"
81,[0.22331873],[0.22341848],[0.21506181],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
82,[0.2233767],[0.22341848],[0.22026737],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
83,[0.22332007],[0.22341848],[0.21763099],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
84,[0.22331821],[0.22341848],[0.21977523],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
85,[0.22328777],[0.22341848],[0.2177099],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
86,[0.22334722],[0.22341848],[0.21901852],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
87,[0.22332945],[0.22341848],[0.21381381],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
88,[0.22334108],[0.22341848],[0.21903357],"[245, 249, 235, 299, 334, 392, 294, 302, 236, 223]"
