Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.1136367],[0.12814864],[0.09647459],"[320, 321, 358, 362, 238, 334, 526, 113, 501, 223]"
2,[0.13400798],[0.14721744],[0.11278498],"[320, 321, 358, 362, 238, 334, 396, 210, 403, 318]"
3,[0.14879237],[0.15826095],[0.13135248],"[210, 321, 320, 362, 403, 238, 379, 311, 358, 53]"
4,[0.15896731],[0.16843912],[0.14609341],"[202, 204, 210, 362, 238, 205, 309, 316, 247, 396]"
5,[0.16502544],[0.17089935],[0.15385164],"[202, 204, 210, 362, 238, 205, 379, 358, 247, 396]"
6,[0.16908876],[0.17167768],[0.16074407],"[202, 204, 210, 362, 238, 205, 379, 358, 247, 318]"
7,[0.17039479],[0.1725822],[0.16232871],"[210, 204, 321, 362, 202, 205, 379, 358, 247, 318]"
8,[0.17118262],[0.17273681],[0.16399383],"[210, 204, 321, 205, 202, 379, 362, 358, 247, 318]"
9,[0.17162031],[0.17379524],[0.15090818],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
10,[0.16981331],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
11,[0.16919576],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
12,[0.16882835],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
13,[0.17165691],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
14,[0.17189488],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
15,[0.16947653],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
16,[0.17099402],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
17,[0.16996348],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
18,[0.16820674],[0.17379524],[0.],"[210, 204, 202, 247, 358, 321, 362, 379, 205, 318]"
19,[0.17180179],[0.17393484],[0.],"[210, 204, 202, 247, 205, 321, 318, 362, 379, 358]"
20,[0.16871558],[0.17393484],[0.],"[210, 204, 202, 247, 205, 321, 318, 362, 379, 358]"
21,[0.16750083],[0.17393484],[0.],"[210, 204, 202, 247, 205, 321, 318, 362, 379, 358]"
22,[0.16849905],[0.17393484],[0.],"[210, 204, 202, 247, 205, 321, 318, 362, 379, 358]"
23,[0.16964065],[0.17406704],[0.],"[210, 204, 202, 362, 247, 321, 358, 205, 379, 318]"
24,[0.17230626],[0.17409927],[0.],"[210, 202, 204, 362, 247, 321, 358, 205, 379, 318]"
25,[0.17253974],[0.17423698],[0.],"[210, 204, 202, 247, 358, 362, 205, 318, 379, 321]"
26,[0.17224205],[0.17426921],[0.],"[210, 202, 204, 247, 358, 362, 205, 318, 379, 321]"
27,[0.17208845],[0.17429948],[0.],"[210, 202, 204, 247, 358, 362, 321, 205, 379, 318]"
28,[0.17364932],[0.17429948],[0.16439508],"[210, 202, 204, 247, 358, 362, 321, 205, 379, 318]"
29,[0.17381788],[0.17429948],[0.16528488],"[210, 202, 204, 247, 358, 362, 321, 205, 379, 318]"
30,[0.17396096],[0.17429948],[0.16827754],"[210, 202, 204, 247, 358, 362, 321, 205, 379, 318]"
31,[0.17394983],[0.17451747],[0.16676532],"[210, 204, 202, 247, 205, 362, 321, 379, 358, 318]"
32,[0.17363442],[0.1745497],[0.],"[210, 202, 204, 247, 205, 362, 321, 379, 358, 318]"
33,[0.17246847],[0.1745497],[0.],"[210, 202, 204, 247, 205, 362, 321, 379, 358, 318]"
34,[0.17402897],[0.1745497],[0.15925692],"[210, 202, 204, 247, 205, 362, 321, 379, 358, 318]"
35,[0.17403205],[0.1745497],[0.16181168],"[210, 202, 204, 247, 205, 362, 321, 379, 358, 318]"
