Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.09906558],[0.12433089],[0.07383581],"[96, 321, 227, 358, 296, 266, 363, 14, 45, 144]"
2,[0.12000017],[0.12724872],[0.10314191],"[96, 67, 235, 358, 296, 266, 363, 14, 533, 22]"
3,[0.12841173],[0.13175857],[0.12197271],"[96, 67, 235, 358, 296, 301, 304, 14, 533, 22]"
4,[0.1322543],[0.13470748],[0.12578685],"[96, 67, 235, 296, 14, 266, 363, 299, 331, 22]"
5,[0.13492831],[0.13921733],[0.13062425],"[96, 67, 235, 296, 14, 301, 304, 299, 331, 22]"
6,[0.13749952],[0.14087314],[0.13253166],"[96, 296, 14, 67, 235, 301, 304, 391, 331, 144]"
7,[0.13882879],[0.1423231],[0.12463078],"[96, 296, 301, 14, 235, 299, 304, 391, 331, 144]"
8,[0.14003916],[0.14346299],[0.13353959],"[96, 14, 301, 331, 235, 299, 391, 296, 304, 144]"
9,[0.14049391],[0.1436303],[0.],"[96, 14, 301, 331, 235, 299, 391, 296, 304, 22]"
10,[0.14201334],[0.14395512],[0.13703994],"[96, 14, 301, 67, 235, 391, 299, 296, 304, 22]"
11,[0.14243438],[0.14395512],[0.13019181],"[96, 14, 301, 67, 235, 391, 299, 296, 304, 22]"
12,[0.14317462],[0.14579722],[0.1388621],"[96, 14, 235, 296, 301, 391, 299, 304, 331, 22]"
13,[0.14272242],[0.14581632],[0.],"[96, 14, 235, 296, 301, 391, 299, 331, 304, 22]"
14,[0.14307376],[0.1458869],[0.],"[96, 14, 235, 296, 301, 391, 299, 331, 67, 22]"
15,[0.14407205],[0.1458869],[0.12932438],"[96, 14, 235, 296, 301, 391, 299, 331, 67, 22]"
16,[0.14405189],[0.1458869],[0.13230208],"[96, 14, 235, 296, 301, 391, 299, 331, 67, 22]"
17,[0.14420138],[0.1458869],[0.],"[96, 14, 235, 296, 301, 391, 299, 331, 67, 22]"
18,[0.14484135],[0.1458869],[0.13078384],"[96, 14, 235, 296, 301, 391, 299, 331, 67, 22]"
19,[0.1450009],[0.14625319],[0.13245666],"[96, 14, 235, 391, 301, 296, 299, 304, 331, 22]"
