Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.11327845],[0.12603639],[0.08959714],"[215, 322, 382, 230, 262, 582, 301, 219, 142, 598, 343, 310, 346, 350]"
2,[0.12884784],[0.14144348],[0.1105879],"[324, 228, 388, 267, 305, 215, 365, 334, 241, 338, 212]"
3,[0.14088476],[0.14955488],[0.12533599],"[324, 225, 298, 227, 305, 215, 365, 334, 241, 338, 212]"
4,[0.15061028],[0.16325468],[0.13243035],"[324, 212, 215, 230, 305, 263, 338, 252, 227, 241, 351]"
5,[0.15868287],[0.17002697],[0.],"[212, 338, 230, 227, 305, 215, 216, 334, 241, 228, 382]"
6,[0.16671193],[0.17198007],[0.14552942],"[212, 338, 230, 227, 305, 215, 216, 219, 241, 228, 382]"
7,[0.17102738],[0.18081056],[0.15684304],"[212, 215, 216, 227, 219, 382, 298, 305, 338, 228, 241]"
8,[0.17085563],[0.18081056],[0.],"[212, 215, 216, 227, 219, 382, 298, 305, 338, 228, 241]"
9,[0.17254378],[0.18139081],[0.],"[212, 215, 216, 227, 219, 382, 298, 305, 334, 228, 338]"
10,[0.17785772],[0.18173707],[0.16926682],"[212, 215, 216, 227, 219, 382, 298, 305, 334, 228, 230]"
11,[0.18046091],[0.18190489],[0.17391445],"[212, 215, 216, 227, 219, 382, 305, 230, 301, 298, 228]"
12,[0.18110778],[0.18190489],[0.17443991],"[212, 215, 216, 227, 219, 382, 305, 230, 301, 298, 228]"
13,[0.18149082],[0.18246458],[0.17698707],"[212, 215, 216, 230, 219, 298, 227, 301, 228, 382, 305]"
14,[0.18119507],[0.18246458],[0.16228031],"[212, 215, 216, 230, 219, 298, 227, 301, 228, 382, 305]"
15,[0.18131433],[0.18246458],[0.16518659],"[212, 215, 216, 230, 219, 298, 227, 301, 228, 382, 305]"
16,[0.1813729],[0.18246458],[0.17071691],"[212, 215, 216, 230, 219, 298, 227, 301, 228, 382, 305]"
17,[0.18164426],[0.18268982],[0.17279325],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
18,[0.18193607],[0.18268982],[0.17251912],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
19,[0.18220546],[0.18268982],[0.17869619],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
20,[0.1823177],[0.18268982],[0.18105075],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
21,[0.1823482],[0.18268982],[0.1796379],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
22,[0.18231892],[0.18268982],[0.17752681],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
23,[0.18238946],[0.18268982],[0.18020922],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
24,[0.18241465],[0.18268982],[0.18101636],"[212, 215, 216, 230, 219, 227, 298, 228, 334, 301, 305]"
