Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.12031802],[0.13755613],[0.09894248],"[319, 215, 234, 353, 281, 452, 250, 311, 251, 138, 569, 524]"
2,[0.14400057],[0.1579183],[0.12677189],"[234, 324, 295, 292, 361, 303, 307, 340, 311, 318]"
3,[0.15667221],[0.16263002],[0.14539513],"[234, 215, 354, 292, 361, 303, 307, 340, 380, 318]"
4,[0.16236576],[0.16549977],[0.15599498],"[234, 215, 354, 292, 361, 303, 307, 246, 380, 318]"
5,[0.16567642],[0.16718941],[0.1615017],"[234, 215, 354, 353, 361, 235, 250, 246, 251, 345]"
6,[0.16700694],[0.17096929],[0.16342669],"[246, 215, 251, 361, 234, 235, 250, 353, 354, 345]"
7,[0.1691705],[0.17142223],[0.15937667],"[246, 215, 251, 353, 234, 235, 250, 361, 354, 345]"
8,[0.17104075],[0.17173601],[0.16760679],"[246, 215, 251, 353, 234, 235, 250, 361, 292, 345]"
9,[0.1713781],[0.17174544],[0.16873454],"[246, 215, 251, 353, 234, 235, 250, 361, 292, 269]"
10,[0.17122753],[0.17229064],[0.],"[215, 246, 234, 353, 235, 251, 250, 292, 361, 345]"
11,[0.17108139],[0.17243031],[0.],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 345]"
12,[0.17198485],[0.17243974],[0.16664064],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 269]"
13,[0.17213098],[0.17243974],[0.17059293],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 269]"
14,[0.17222358],[0.17243974],[0.16804657],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 269]"
15,[0.1722945],[0.17243974],[0.17019866],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 269]"
16,[0.17234029],[0.17243974],[0.16958811],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 269]"
17,[0.17235207],[0.17243974],[0.17165292],"[246, 215, 234, 251, 353, 235, 250, 292, 361, 269]"
18,[0.17231943],[0.17247204],[0.16586143],"[246, 215, 234, 251, 292, 235, 353, 361, 250, 269]"
19,[0.17217578],[0.17247204],[0.15854572],"[246, 215, 234, 251, 292, 235, 353, 361, 250, 269]"
20,[0.17215909],[0.17247204],[0.1646704],"[246, 215, 234, 251, 292, 235, 353, 361, 250, 269]"
21,[0.17210117],[0.17247204],[0.16437786],"[246, 215, 234, 251, 292, 235, 353, 361, 250, 269]"
22,[0.17215419],[0.17250977],[0.16613992],"[246, 215, 234, 251, 292, 353, 235, 361, 250, 269]"
23,[0.17223569],[0.17250977],[0.16749213],"[246, 215, 234, 251, 292, 353, 235, 361, 250, 269]"
24,[0.17234939],[0.17250977],[0.168463],"[246, 215, 234, 251, 292, 353, 235, 361, 250, 269]"
25,[0.17237522],[0.17250977],[0.16883713],"[246, 215, 234, 251, 292, 353, 235, 361, 250, 269]"
