Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.14239476],[0.18037518],[0.11242289],"[319, 315, 240, 299, 304, 278, 221, 166, 253, 160]"
2,[0.16986941],[0.18538271],[0.14874711],"[226, 233, 332, 305, 294, 278, 221, 315, 377, 348, 446, 375]"
3,[0.18633925],[0.19574034],[0.17102247],"[320, 233, 240, 332, 251, 221, 278, 315, 377, 533]"
4,[0.19492571],[0.19982584],[0.18329131],"[320, 233, 240, 251, 332, 221, 253, 278, 348, 295]"
5,[0.19873996],[0.2029029],[0.18905739],"[251, 332, 240, 233, 221, 320, 295, 348, 278, 253]"
6,[0.20090346],[0.20627514],[0.19374827],"[305, 221, 240, 233, 251, 348, 320, 295, 315, 278]"
7,[0.2008561],[0.2066386],[0.],"[251, 233, 240, 332, 221, 320, 348, 294, 278, 253]"
8,[0.20533071],[0.20863841],[0.19772564],"[305, 221, 240, 233, 251, 348, 320, 294, 315, 253]"
9,[0.2064946],[0.20969264],[0.],"[305, 221, 240, 233, 251, 348, 294, 253, 332, 278]"
10,[0.2081598],[0.20969264],[0.20410699],"[305, 221, 240, 233, 251, 348, 294, 253, 332, 278]"
11,[0.20785226],[0.21161089],[0.],"[240, 221, 305, 233, 251, 348, 294, 253, 332, 278]"
12,[0.20767927],[0.21232879],[0.],"[240, 221, 305, 233, 251, 332, 348, 294, 315, 320]"
13,[0.2102944],[0.21232879],[0.20499954],"[240, 221, 305, 233, 251, 332, 348, 294, 315, 320]"
14,[0.21080478],[0.21258648],[0.20795926],"[240, 221, 233, 251, 305, 332, 294, 348, 320, 315]"
15,[0.21121222],[0.21264759],[0.],"[240, 221, 233, 251, 305, 332, 294, 348, 315, 320]"
16,[0.2121203],[0.21264759],[0.20738948],"[240, 221, 233, 251, 305, 332, 294, 348, 315, 320]"
17,[0.21239673],[0.21264759],[0.20916494],"[240, 221, 233, 251, 305, 332, 294, 348, 315, 320]"
18,[0.21243322],[0.21277842],[0.20748468],"[240, 221, 233, 251, 305, 294, 348, 332, 315, 320]"
19,[0.21252398],[0.21277842],[0.20922517],"[240, 221, 233, 251, 305, 294, 348, 332, 315, 320]"
20,[0.21254701],[0.21277842],[0.20922517],"[240, 221, 233, 251, 305, 294, 348, 332, 315, 320]"
21,[0.2125869],[0.21277842],[0.21042595],"[240, 221, 233, 251, 305, 294, 348, 332, 315, 320]"
22,[0.21259761],[0.21277842],[0.20759693],"[240, 221, 233, 251, 305, 294, 348, 332, 315, 320]"
23,[0.21260095],[0.21277842],[0.20564596],"[240, 221, 233, 251, 305, 294, 348, 332, 315, 320]"
24,[0.21260984],[0.21285145],[0.20769692],"[240, 221, 251, 233, 305, 294, 348, 332, 320, 315]"
25,[0.21266897],[0.21291256],[0.21054419],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
26,[0.21262839],[0.21291256],[0.20871969],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
27,[0.21262503],[0.21291256],[0.20799996],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
28,[0.21265414],[0.21291256],[0.20748205],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
29,[0.21269405],[0.21291256],[0.20608611],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
30,[0.21266569],[0.21291256],[0.20276616],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
31,[0.2127125],[0.21291256],[0.20843332],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
32,[0.21272541],[0.21291256],[0.20736181],"[240, 221, 251, 233, 305, 294, 348, 332, 315, 320]"
