Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.11070739],[0.13511134],[0.08314123],"[215, 238, 242, 277, 89, 567, 607, 54, 286, 524]"
2,[0.14158424],[0.16539027],[0.11335121],"[215, 238, 242, 204, 297, 299, 607, 54, 286, 524]"
3,[0.16791646],[0.17864332],[0.15226008],"[215, 384, 218, 277, 297, 299, 172, 239, 286, 216]"
4,[0.18221731],[0.20828847],[0.1676358],"[215, 216, 218, 277, 286, 297, 384, 239, 299, 172]"
5,[0.19071401],[0.2106031],[0.],"[215, 216, 218, 277, 286, 297, 384, 334, 403, 172]"
6,[0.20683036],[0.21646366],[0.],"[215, 216, 242, 204, 297, 299, 384, 334, 403, 172]"
7,[0.2136563],[0.21779086],[0.20216894],"[216, 215, 242, 204, 297, 299, 384, 334, 403, 273]"
8,[0.21615495],[0.21812569],[0.20650311],"[215, 216, 218, 204, 297, 299, 384, 334, 403, 273]"
9,[0.21700193],[0.21828355],[0.21159169],"[215, 216, 204, 242, 297, 299, 384, 334, 403, 273]"
10,[0.21733932],[0.21828355],[0.21384333],"[215, 216, 204, 242, 297, 299, 384, 334, 403, 273]"
11,[0.21750233],[0.21828355],[0.2128695],"[215, 216, 204, 242, 297, 299, 384, 334, 403, 273]"
12,[0.21743928],[0.21844781],[0.16960728],"[215, 216, 204, 242, 297, 299, 403, 334, 384, 273]"
13,[0.21778062],[0.21853376],[0.19023617],"[215, 216, 204, 242, 297, 334, 384, 299, 403, 273]"
14,[0.21744133],[0.21868258],[0.],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
15,[0.21792448],[0.21868258],[0.2011664],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
16,[0.21795814],[0.21868258],[0.2011664],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
17,[0.21793907],[0.21868258],[0.19060663],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
18,[0.21787708],[0.21868258],[0.18693487],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
19,[0.21815104],[0.21868258],[0.20893406],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
20,[0.21818929],[0.21868258],[0.2007697],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
21,[0.21810454],[0.21868258],[0.20406643],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
22,[0.21788288],[0.21868258],[0.19291634],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
23,[0.21802589],[0.21868258],[0.19791675],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
24,[0.2180681],[0.21868258],[0.19791675],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
25,[0.21785906],[0.21868258],[0.17109872],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
26,[0.21817556],[0.21868258],[0.20766076],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
27,[0.2181901],[0.21868258],[0.20524667],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
28,[0.21807035],[0.21868258],[0.19133757],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
29,[0.21810781],[0.21868258],[0.19815416],"[215, 216, 204, 242, 297, 334, 403, 384, 299, 273]"
30,[0.2182064],[0.21869802],[0.18994489],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
31,[0.21834933],[0.21869802],[0.19815416],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
32,[0.2184652],[0.21869802],[0.21111966],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
33,[0.21829993],[0.21869802],[0.1852988],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
34,[0.21841],[0.21869802],[0.20683315],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
35,[0.2184507],[0.21869802],[0.204764],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
36,[0.21845245],[0.21869802],[0.20485356],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
37,[0.21815334],[0.21869802],[0.19654995],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
38,[0.21836735],[0.21869802],[0.20964303],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
39,[0.21842506],[0.21869802],[0.20964303],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
40,[0.2182759],[0.21869802],[0.19674949],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
41,[0.21830167],[0.21869802],[0.20303327],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
42,[0.21826002],[0.21869802],[0.19198481],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
43,[0.21840361],[0.21869802],[0.20013695],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
44,[0.21841205],[0.21869802],[0.19701023],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
45,[0.21840373],[0.21869802],[0.2057568],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
46,[0.21838705],[0.21869802],[0.20104359],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
47,[0.21829969],[0.21869802],[0.19239045],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
48,[0.21835643],[0.21869802],[0.19239045],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
49,[0.21838391],[0.21869802],[0.20169779],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
50,[0.21831554],[0.21869802],[0.20039893],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
51,[0.21837819],[0.21869802],[0.21113217],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
52,[0.21845242],[0.21869802],[0.21139066],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
53,[0.21849297],[0.21869802],[0.21586519],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
54,[0.21843176],[0.21869802],[0.20829825],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
55,[0.21843986],[0.21869802],[0.21189451],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
56,[0.21828819],[0.21869802],[0.19908442],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
57,[0.21841421],[0.21869802],[0.19992276],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
58,[0.21828371],[0.21869802],[0.19907141],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
59,[0.21832418],[0.21869802],[0.19357943],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
60,[0.21843555],[0.21869802],[0.20923468],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
61,[0.21848376],[0.21869802],[0.2049515],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
62,[0.21843166],[0.21869802],[0.20081605],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
63,[0.21841359],[0.21869802],[0.19978783],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
64,[0.21842338],[0.21869802],[0.20141876],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
65,[0.21840229],[0.21869802],[0.19661771],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
66,[0.21827795],[0.21869802],[0.18776244],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
67,[0.21829273],[0.21869802],[0.19461064],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
68,[0.21814377],[0.21869802],[0.19625786],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
69,[0.21829458],[0.21869802],[0.19070696],"[215, 216, 204, 242, 297, 334, 403, 299, 384, 273]"
