Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.08522501],[0.10329112],[0.07017292],"[306, 406, 172, 365, 219, 275, 213, 106, 611, 156]"
2,[0.10474668],[0.13200211],[0.08703918],"[213, 406, 230, 218, 219, 127, 27, 365, 319, 418, 275]"
3,[0.12035319],[0.13644554],[0.09954397],"[213, 406, 230, 218, 219, 127, 27, 365, 611, 275]"
4,[0.13451655],[0.14370175],[0.11611353],"[213, 406, 230, 218, 219, 298, 27, 365, 611, 275]"
5,[0.14404781],[0.15077979],[0.13367269],"[213, 406, 230, 219, 218, 298, 227, 365, 319, 27]"
6,[0.15131232],[0.15761491],[0.13955178],"[213, 214, 230, 218, 219, 298, 227, 365, 319, 275]"
7,[0.15431231],[0.1578796],[0.146808],"[213, 214, 230, 218, 219, 298, 227, 365, 319, 244]"
8,[0.15571401],[0.15919716],[0.14531609],"[213, 218, 214, 227, 230, 298, 219, 319, 244, 365]"
9,[0.15358162],[0.15933251],[0.],"[213, 214, 218, 230, 219, 298, 227, 365, 319, 244]"
10,[0.15585311],[0.15987892],[0.],"[213, 214, 218, 230, 219, 298, 227, 319, 244, 275]"
11,[0.15797067],[0.15987892],[0.],"[213, 214, 218, 230, 219, 298, 227, 319, 244, 275]"
12,[0.15861253],[0.15987892],[0.14516808],"[213, 214, 218, 230, 219, 298, 227, 319, 244, 275]"
13,[0.15880456],[0.15987892],[0.14516808],"[213, 214, 218, 230, 219, 298, 227, 319, 244, 275]"
14,[0.15898066],[0.1602769],[0.14726933],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
15,[0.15919572],[0.1602769],[0.15015065],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
16,[0.15950222],[0.1602769],[0.15015065],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
17,[0.15966682],[0.1602769],[0.15143473],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
18,[0.15960929],[0.1602769],[0.14519613],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
19,[0.1596087],[0.1602769],[0.14667718],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
20,[0.15958028],[0.1602769],[0.13635867],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
21,[0.15952593],[0.1602769],[0.12636177],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
22,[0.15968921],[0.1602769],[0.1506539],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
23,[0.15957933],[0.1602769],[0.14602924],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
24,[0.15960711],[0.1602769],[0.13975649],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
25,[0.1597012],[0.1602769],[0.14774712],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
26,[0.15958571],[0.1602769],[0.14430801],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
27,[0.15973184],[0.1602769],[0.14655784],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
28,[0.15977707],[0.1602769],[0.14620063],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
29,[0.15965664],[0.1602769],[0.14834877],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
30,[0.15971077],[0.1602769],[0.14201689],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
31,[0.15976436],[0.1602769],[0.14940975],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
32,[0.15980254],[0.1602769],[0.14524779],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
33,[0.15969213],[0.1602769],[0.13433645],"[213, 214, 218, 219, 230, 298, 227, 319, 244, 275]"
34,[0.15985358],[0.16051752],[0.14409583],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
35,[0.16004747],[0.16051752],[0.1512004],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
36,[0.16007421],[0.16051752],[0.14518223],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
37,[0.16009083],[0.16051752],[0.14479417],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
38,[0.16006749],[0.16051752],[0.14921088],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
39,[0.16005949],[0.16051752],[0.14381232],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
40,[0.16009922],[0.16051752],[0.14859071],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
41,[0.16013795],[0.16051752],[0.14643197],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
42,[0.15999569],[0.16051752],[0.14842094],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
43,[0.16004992],[0.16051752],[0.14720405],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
44,[0.15991432],[0.16051752],[0.14720405],"[213, 214, 218, 219, 227, 298, 230, 319, 244, 275]"
