Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.09513954],[0.11540943],[0.07445844],"[224, 357, 326, 390, 230, 649, 404, 215, 184, 574]"
2,[0.11827397],[0.13891179],[0.10078872],"[256, 230, 222, 215, 380, 649, 313, 574, 184, 404, 509, 390, 326]"
3,[0.14014867],[0.16514392],[0.11304969],"[256, 357, 222, 215, 380, 649, 313, 574, 217, 30]"
4,[0.16468246],[0.1773666],[0.13629101],"[256, 357, 222, 215, 240, 305, 234, 184, 217, 30]"
5,[0.17579969],[0.18114961],[0.16232992],"[256, 357, 222, 215, 240, 305, 313, 341, 217, 404]"
6,[0.18000957],[0.19185061],[0.170733],"[215, 357, 222, 313, 240, 305, 380, 256, 217, 30]"
7,[0.18489414],[0.19270277],[0.1720231],"[215, 357, 222, 313, 240, 305, 380, 256, 217, 404]"
8,[0.19019716],[0.19469105],[0.17910325],"[215, 222, 313, 240, 357, 305, 380, 256, 217, 404]"
9,[0.19173254],[0.194915],[0.1645775],"[222, 215, 313, 240, 357, 305, 380, 256, 217, 404]"
10,[0.19388107],[0.19506332],[0.18617506],"[215, 222, 305, 217, 357, 240, 380, 256, 313, 404]"
11,[0.19375905],[0.19549491],[0.1604869],"[222, 215, 305, 217, 357, 240, 380, 256, 233, 404]"
12,[0.19423685],[0.19549491],[0.1626327],"[222, 215, 305, 217, 357, 240, 380, 256, 233, 404]"
13,[0.19488382],[0.19611158],[0.18333392],"[222, 215, 305, 240, 357, 217, 256, 243, 233, 404]"
14,[0.19529145],[0.19611158],[0.17953494],"[222, 215, 305, 240, 357, 217, 256, 243, 233, 404]"
15,[0.19551721],[0.19611158],[0.19278378],"[222, 215, 305, 240, 357, 217, 256, 243, 233, 404]"
16,[0.19572138],[0.19644217],[0.18653314],"[222, 215, 357, 217, 305, 240, 243, 256, 233, 404]"
17,[0.19553451],[0.1966667],[0.16134399],"[222, 215, 357, 240, 233, 243, 217, 256, 305, 404]"
18,[0.19491133],[0.1966667],[0.],"[222, 215, 357, 240, 233, 243, 217, 256, 305, 404]"
19,[0.19553775],[0.1966667],[0.16387301],"[222, 215, 357, 240, 233, 243, 217, 256, 305, 404]"
20,[0.1958621],[0.19693653],[0.15599294],"[222, 215, 357, 240, 305, 217, 256, 243, 313, 404]"
21,[0.1960826],[0.19714417],[0.17275131],"[222, 215, 357, 240, 305, 217, 256, 243, 233, 404]"
22,[0.19637459],[0.19719219],[0.18230987],"[222, 215, 357, 240, 233, 217, 256, 243, 305, 404]"
23,[0.19653956],[0.19719219],[0.19022693],"[222, 215, 357, 240, 233, 217, 256, 243, 305, 404]"
24,[0.19662236],[0.19719219],[0.19406284],"[222, 215, 357, 240, 233, 217, 256, 243, 305, 404]"
25,[0.19674502],[0.19743621],[0.17899721],"[222, 215, 357, 240, 233, 217, 256, 305, 243, 404]"
26,[0.19679064],[0.19754516],[0.17102504],"[222, 215, 357, 240, 217, 233, 256, 305, 243, 404]"
27,[0.19680134],[0.19784957],[0.1697956],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
28,[0.1970363],[0.19784957],[0.1803156],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
29,[0.19722881],[0.19784957],[0.19198421],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
30,[0.19723764],[0.19784957],[0.17921801],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
31,[0.19716252],[0.19784957],[0.17849944],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
32,[0.19718321],[0.19784957],[0.17580417],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
33,[0.19723577],[0.19784957],[0.18460033],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
34,[0.19713761],[0.19784957],[0.17662483],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
35,[0.19729257],[0.19784957],[0.17959972],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
36,[0.19728123],[0.19784957],[0.18937387],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
37,[0.19739263],[0.19784957],[0.19348037],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
38,[0.19745935],[0.19784957],[0.19351902],"[222, 215, 357, 240, 217, 233, 256, 305, 313, 404]"
