Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.1198313],[0.1392101],[0.09748804],"[224, 216, 289, 259, 105, 264, 125, 226, 203, 133, 215]"
2,[0.14215642],[0.16414922],[0.12305261],"[224, 216, 261, 297, 362, 399, 243, 226, 203, 133, 215]"
3,[0.16380516],[0.1775891],[0.14617203],"[227, 216, 215, 289, 217, 399, 243, 224, 222, 362, 276]"
4,[0.17274587],[0.18271646],[0.15788526],"[227, 216, 226, 297, 215, 261, 243, 224, 222, 362, 276]"
5,[0.18068244],[0.18849723],[0.16563257],"[227, 216, 215, 297, 217, 400, 243, 224, 222, 362, 276]"
6,[0.18418737],[0.19170791],[0.],"[216, 222, 215, 297, 217, 400, 243, 224, 362, 227, 276]"
7,[0.18690745],[0.19238838],[0.],"[216, 222, 215, 297, 217, 400, 243, 226, 362, 227, 276]"
8,[0.1884858],[0.19272453],[0.],"[216, 222, 215, 297, 217, 224, 243, 226, 362, 227, 276]"
9,[0.1900976],[0.19281668],[0.17625964],"[216, 222, 215, 297, 217, 224, 243, 226, 362, 227, 261]"
10,[0.19122304],[0.19281668],[0.17408795],"[216, 222, 215, 297, 217, 224, 243, 226, 362, 227, 261]"
11,[0.19186279],[0.19343571],[0.16977764],"[216, 217, 215, 297, 222, 224, 243, 226, 362, 227, 276]"
12,[0.19251416],[0.19352786],[0.18873657],"[216, 217, 215, 297, 222, 224, 243, 226, 362, 227, 261]"
13,[0.19288236],[0.19380808],[0.1900229],"[216, 217, 215, 297, 222, 227, 224, 243, 362, 226, 261]"
14,[0.1928444],[0.19380808],[0.17387965],"[216, 217, 215, 297, 222, 227, 224, 243, 362, 226, 261]"
15,[0.19216424],[0.19380808],[0.],"[216, 217, 215, 297, 222, 227, 224, 243, 362, 226, 261]"
16,[0.19243781],[0.19408553],[0.],"[216, 217, 215, 297, 222, 227, 243, 224, 362, 226, 261]"
17,[0.19303517],[0.19411718],[0.17080356],"[216, 217, 215, 226, 222, 227, 224, 362, 243, 276, 297]"
18,[0.1919032],[0.19462934],[0.],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
19,[0.1929925],[0.19462934],[0.],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
20,[0.19347374],[0.19462934],[0.17892712],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
21,[0.19366142],[0.19462934],[0.18577149],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
22,[0.19381581],[0.19462934],[0.18540315],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
23,[0.19384103],[0.19462934],[0.18554603],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
24,[0.19400288],[0.19462934],[0.19109944],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
25,[0.19400243],[0.19462934],[0.19038393],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
26,[0.19399327],[0.19462934],[0.17933354],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
27,[0.19406757],[0.19462934],[0.19079604],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
28,[0.19398189],[0.19462934],[0.18292065],"[216, 217, 215, 226, 222, 227, 243, 224, 362, 276, 297]"
29,[0.19408808],[0.19473806],[0.19053061],"[216, 217, 215, 227, 222, 226, 243, 224, 362, 276, 297]"
30,[0.19408286],[0.19473806],[0.18748872],"[216, 217, 215, 227, 222, 226, 243, 224, 362, 276, 297]"
31,[0.19406746],[0.19473806],[0.185027],"[216, 217, 215, 227, 222, 226, 243, 224, 362, 276, 297]"
32,[0.19375002],[0.19491283],[0.],"[216, 217, 215, 222, 227, 226, 243, 224, 362, 276, 297]"
33,[0.19428578],[0.19491283],[0.182467],"[216, 217, 215, 222, 227, 226, 243, 224, 362, 276, 297]"
34,[0.19420239],[0.19491283],[0.17602483],"[216, 217, 215, 222, 227, 226, 243, 224, 362, 276, 297]"
35,[0.19426045],[0.19520242],[0.17516429],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
36,[0.19445685],[0.19520242],[0.18928036],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
37,[0.19459216],[0.19520242],[0.18803757],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
38,[0.19458567],[0.19520242],[0.16875353],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
39,[0.19456078],[0.19520242],[0.17506024],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
40,[0.19465803],[0.19520242],[0.18498564],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
41,[0.19456394],[0.19520242],[0.17781841],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
42,[0.19455219],[0.19520242],[0.18314241],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
43,[0.19457254],[0.19520242],[0.17571608],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
44,[0.19466283],[0.19520242],[0.18526538],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
45,[0.19464043],[0.19520242],[0.17817215],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
46,[0.1945972],[0.19520242],[0.17945895],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
47,[0.19466576],[0.19520242],[0.18900856],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
48,[0.19469531],[0.19520242],[0.17580738],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
49,[0.19458971],[0.19520242],[0.17548096],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 276, 297]"
50,[0.19430117],[0.19552809],[0.16735889],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 297, 276]"
51,[0.19403017],[0.19562023],[0.],"[216, 215, 217, 222, 227, 226, 243, 224, 362, 297, 261]"
