Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.11011123],[0.14064547],[0.08771216],"[250, 352, 361, 216, 265, 204, 588, 401, 349, 300]"
2,[0.13817805],[0.16122671],[0.11254522],"[225, 291, 228, 216, 265, 204, 588, 401, 349, 300]"
3,[0.15878544],[0.17641379],[0.13280563],"[225, 387, 235, 395, 216, 250, 361, 204, 252, 588]"
4,[0.17354012],[0.18705399],[0.14899449],"[225, 228, 391, 216, 265, 250, 361, 204, 252, 588]"
5,[0.1830292],[0.19230765],[0.15518394],"[216, 227, 391, 225, 204, 250, 361, 265, 252, 588]"
6,[0.18780617],[0.19633934],[0.16492929],"[216, 228, 235, 204, 225, 395, 252, 361, 227, 250]"
7,[0.19227845],[0.19931901],[0.],"[216, 228, 235, 391, 252, 250, 265, 204, 361, 300]"
8,[0.19724018],[0.20403016],[0.],"[216, 228, 235, 391, 252, 250, 265, 225, 227, 349]"
9,[0.20114148],[0.20513409],[0.19178504],"[216, 228, 235, 391, 225, 250, 252, 265, 227, 300]"
10,[0.20340661],[0.207331],[0.19493889],"[216, 235, 252, 391, 228, 227, 225, 250, 265, 349]"
11,[0.20534188],[0.20784068],[0.18756742],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
12,[0.20615473],[0.20784068],[0.20038446],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
13,[0.20660622],[0.20784068],[0.19819176],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
14,[0.20694894],[0.20784068],[0.19885771],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
15,[0.20722178],[0.20784068],[0.20084956],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
16,[0.20701507],[0.20784068],[0.19681595],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
17,[0.207068],[0.20784068],[0.17906156],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
18,[0.20704765],[0.20784068],[0.19569431],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
19,[0.20714781],[0.20784068],[0.19876464],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
20,[0.20737337],[0.20784068],[0.20027564],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
21,[0.20734588],[0.20784068],[0.19716091],"[216, 228, 235, 391, 225, 227, 252, 250, 265, 361]"
22,[0.20742203],[0.20784854],[0.19963047],"[216, 228, 235, 391, 252, 227, 225, 250, 265, 361]"
23,[0.20743499],[0.20784854],[0.19350787],"[216, 228, 235, 391, 252, 227, 225, 250, 265, 361]"
24,[0.20760875],[0.20784854],[0.20222007],"[216, 228, 235, 391, 252, 227, 225, 250, 265, 361]"
25,[0.20763583],[0.20784854],[0.20403624],"[216, 228, 235, 391, 252, 227, 225, 250, 265, 361]"
26,[0.20767355],[0.20796116],[0.19989914],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
27,[0.20742933],[0.20796116],[0.18383273],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
28,[0.20774976],[0.20796116],[0.19893334],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
29,[0.20779764],[0.20796116],[0.19932725],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
30,[0.20778448],[0.20796116],[0.1990232],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
31,[0.20782221],[0.20796116],[0.19319452],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
32,[0.20783853],[0.20796116],[0.20176647],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
33,[0.20786446],[0.20796116],[0.20134948],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
34,[0.20782536],[0.20796116],[0.20134948],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
35,[0.20779749],[0.20796116],[0.19985249],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
36,[0.20785448],[0.20796116],[0.20244526],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
37,[0.20777903],[0.20796116],[0.20170936],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
38,[0.2077538],[0.20796116],[0.19502412],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
39,[0.20783792],[0.20796116],[0.19961216],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
40,[0.20781288],[0.20796116],[0.19438391],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
41,[0.20785399],[0.20796116],[0.20009706],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
42,[0.20783879],[0.20796116],[0.19542544],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
43,[0.20762866],[0.20796116],[0.18936023],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
44,[0.20776199],[0.20796116],[0.18450898],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
45,[0.20777309],[0.20796116],[0.18936734],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
46,[0.2077965],[0.20796116],[0.19249772],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
47,[0.20784493],[0.20796116],[0.20059077],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
48,[0.20784441],[0.20796116],[0.19967818],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
49,[0.20774605],[0.20796116],[0.19677678],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
50,[0.20781261],[0.20796116],[0.1977941],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
51,[0.20785578],[0.20796116],[0.20271589],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
52,[0.20786414],[0.20796116],[0.19677811],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
53,[0.20762751],[0.20796116],[0.1824016],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
54,[0.20771183],[0.20796116],[0.19648142],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
55,[0.20776248],[0.20796116],[0.19377792],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
56,[0.20774476],[0.20796116],[0.20191918],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
57,[0.2077893],[0.20796116],[0.2020782],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
58,[0.2077125],[0.20796116],[0.19097263],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
59,[0.20775617],[0.20796116],[0.19788826],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
60,[0.207787],[0.20796116],[0.19996388],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
61,[0.20783736],[0.20796116],[0.20205344],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
62,[0.2078496],[0.20796116],[0.20202264],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
63,[0.20780999],[0.20796116],[0.20166436],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
64,[0.20787861],[0.20796116],[0.20452684],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
65,[0.20779804],[0.20796116],[0.20115359],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
66,[0.20776694],[0.20796116],[0.19888969],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
67,[0.20781949],[0.20796116],[0.20209454],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
68,[0.20777377],[0.20796116],[0.19842349],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
69,[0.20779041],[0.20796116],[0.19651814],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
70,[0.20779805],[0.20796116],[0.19953642],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
71,[0.20769933],[0.20796116],[0.19540329],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
72,[0.20774608],[0.20796116],[0.19973702],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
73,[0.20775905],[0.20796116],[0.19656187],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
74,[0.20789419],[0.20796116],[0.20602624],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
75,[0.20778346],[0.20796116],[0.1859888],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
76,[0.20784581],[0.20796116],[0.20094864],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
77,[0.2077959],[0.20796116],[0.19129975],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
78,[0.20783535],[0.20796116],[0.20285013],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
79,[0.20785379],[0.20796116],[0.1999698],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
80,[0.20783083],[0.20796116],[0.19748487],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
81,[0.20773976],[0.20796116],[0.19098325],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
82,[0.20782443],[0.20796116],[0.19988797],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
83,[0.20775131],[0.20796116],[0.20084652],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
84,[0.20778751],[0.20796116],[0.20116477],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
85,[0.20778833],[0.20796116],[0.19498432],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
86,[0.20787555],[0.20796116],[0.20258535],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
87,[0.20782156],[0.20796116],[0.19816731],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
88,[0.20780828],[0.20796116],[0.19729408],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
89,[0.207796],[0.20796116],[0.19583932],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
90,[0.20773786],[0.20796116],[0.19322476],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
91,[0.20778301],[0.20796116],[0.19738217],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
92,[0.20782773],[0.20796116],[0.19787637],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
93,[0.20787956],[0.20796116],[0.19992928],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
94,[0.20776238],[0.20796116],[0.19803517],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
95,[0.20785771],[0.20796116],[0.20342641],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
96,[0.20781112],[0.20796116],[0.20020505],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
97,[0.20775752],[0.20796116],[0.20020505],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
98,[0.20768544],[0.20796116],[0.18487382],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
99,[0.20776928],[0.20796116],[0.19886784],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
100,[0.20783053],[0.20796116],[0.19742438],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
101,[0.20779116],[0.20796116],[0.19849689],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
102,[0.20774722],[0.20796116],[0.19849689],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
103,[0.20779282],[0.20796116],[0.19833717],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
104,[0.20782779],[0.20796116],[0.20011974],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
105,[0.20779467],[0.20796116],[0.2001949],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
106,[0.20777829],[0.20796116],[0.18839879],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
107,[0.20779674],[0.20796116],[0.19689858],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
108,[0.20786593],[0.20796116],[0.2044616],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
109,[0.2078315],[0.20796116],[0.1895876],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
110,[0.2078443],[0.20796116],[0.19718794],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
111,[0.20782582],[0.20796116],[0.19877656],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
112,[0.20776896],[0.20796116],[0.19714817],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
113,[0.20781874],[0.20796116],[0.20092596],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
114,[0.20781724],[0.20796116],[0.20210236],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
115,[0.20773916],[0.20796116],[0.19747784],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
116,[0.20774715],[0.20796116],[0.19628175],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
117,[0.20781519],[0.20796116],[0.20211251],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
118,[0.20771797],[0.20796116],[0.1974408],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
119,[0.20767781],[0.20796116],[0.19972102],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
120,[0.20778862],[0.20796116],[0.2005454],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
121,[0.2077889],[0.20796116],[0.19821249],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
122,[0.20790446],[0.20796116],[0.20646321],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
123,[0.20780394],[0.20796116],[0.19612192],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
124,[0.20783608],[0.20796116],[0.20091954],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
125,[0.20777417],[0.20796116],[0.19648326],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
126,[0.20775456],[0.20796116],[0.19401467],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
127,[0.20778803],[0.20796116],[0.20243008],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
128,[0.20779887],[0.20796116],[0.20250387],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
129,[0.20783067],[0.20796116],[0.20227443],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
130,[0.20786314],[0.20796116],[0.20298676],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
131,[0.20780264],[0.20796116],[0.19531999],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
132,[0.2078777],[0.20796116],[0.20160808],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
133,[0.20778844],[0.20796116],[0.197906],"[216, 228, 391, 235, 252, 225, 227, 250, 265, 361]"
