IaC_File,Precision,Recall,Fscore,Success_rate,MRR
puppet-tripleo/manifests/profile/base/cinder/api.pp_(IaC)_,0.6,0.375,0.4615384615384615,1.0,1.0
puppet-tripleo/manifests/profile/base/heat/api.pp_(IaC)_,0.4,0.25,0.3076923076923077,1.0,1.0
puppet-tripleo/manifests/profile/base/ironic/api.pp_(IaC)_,0.5,0.3125,0.38461538461538464,1.0,0.5
puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_,0.1,0.0625,0.07692307692307693,1.0,0.5
puppet-tripleo/manifests/profile/base/swift/proxy.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,0.5
puppet-tripleo/manifests/profile/base/aodh/api.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,1.0
puppet-tripleo/manifests/profile/base/nova/api.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,1.0
puppet-tripleo/manifests/profile/base/octavia/api.pp_(IaC)_,0.4,0.25,0.3076923076923077,1.0,1.0
puppet-tripleo/manifests/profile/base/heat/api_cfn.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,1.0
puppet-tripleo/manifests/profile/base/placement/api.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,0.5
puppet-tripleo/manifests/profile/base/barbican/api.pp_(IaC)_,0.4,0.25,0.3076923076923077,1.0,1.0
puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,0.5
puppet-tripleo/manifests/profile/base/manila/api.pp_(IaC)_,0.4,0.25,0.3076923076923077,1.0,0.5
puppet-tripleo/manifests/profile/base/gnocchi/api.pp_(IaC)_,0.1,0.0625,0.07692307692307693,1.0,1.0
puppet-tripleo/manifests/profile/base/glance/api.pp_(IaC)_,0.2,0.125,0.15384615384615385,1.0,0.5
puppet-tripleo/manifests/profile/base/nova/metadata.pp_(IaC)_,0.3,0.1875,0.23076923076923075,1.0,0.5
puppet-tripleo/manifests/profile/base/neutron/server.pp_(IaC)_,0.2,0.125,0.15384615384615385,1.0,1.0
