NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[1],"[[322, 261, 294, 331, 44, 334, 240, 49, 87, 122]]","[['puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/cinder/backup/nfs.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/gnocchi/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/nova/libvirt.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_cinder_volume_pure_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/nova/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/pacemaker.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_aodh_evaluator_spec.rb_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_neutron_ovs_spec.rb_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_octavia_health_manager_spec.rb_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[1.0],[0.1111111111111111],[0.19999999999999998],[1],[1.0]
[1],"[[226, 322, 389, 294, 236, 334, 401, 116, 599, 93]]","[['puppet-tripleo/manifests/profile/base/octavia.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/swift/dispersion.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/gnocchi/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/haproxy.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/nova/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/placement/authtoken.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_octavia_api_spec.rb_(Other)_', 'puppet-tripleo/releasenotes/notes/enables_opendaylight_port_status-1ee052b299b36b83.yaml_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_ironic_spec.rb_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[0.0],[0.0],[0],[0],[0]
[1],"[[128, 322, 327, 361, 330, 107, 147, 341, 374, 415]]","[['puppet-tripleo/spec/classes/tripleo_profile_base_heat_authtoken_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/dhcp.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/nova/metadata.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_cinder_volume_rbd_spec.rb_(Other)_', 'puppet-tripleo/spec/defines/tripleo_profile_base_neutron_wrappers_keepalived_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/nova/wrappers/virtlogd.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/plugins/ml2/vts.pp_(IaC)_', 'puppet-tripleo/releasenotes/notes/xtremio-add-ports-option-b1e60a97ba56f21e.yaml_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[0.0],[0.0],[0],[0],[0]
[1],"[[320, 322, 548, 134, 327, 359, 617, 48, 497, 155]]","[['puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/releasenotes/notes/nova_compute_include_metadata-21757b44cb976e5d.yaml_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_designate_sink_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/l2gw.pp_(IaC)_', 'puppet-tripleo/releasenotes/notes/swift-proxy-add-audit-middleware-290db6db952d690f.yaml_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_nova_compute_spec.rb_(Other)_', 'puppet-tripleo/releasenotes/notes/xtremio-iscsi-remove-deprecated-da9224d14cef4fde.yaml_(Other)_', 'puppet-tripleo/spec/defines/tripleo_profile_base_neutron_wrappers_keepalived_state_change_spec.rb_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[1.0],[0.1111111111111111],[0.19999999999999998],[1],[1.0]
[1],"[[327, 332, 300, 47, 304, 114, 84, 340, 310, 437]]","[['puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/nova/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/aodh/notifier.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_cinder_backup_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/aodh/listener.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_glance_backend_swift_spec.rb_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_ceilometer_agent_polling_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/nova/compute.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/octavia/api.pp_(IaC)_', 'puppet-tripleo/releasenotes/notes/restrict-mongodb-memory-c19d69638b63feb4.yaml_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[1.0],[0.1111111111111111],[0.19999999999999998],[1],[1.0]
[1],"[[322, 323, 68, 324, 326, 300, 88, 217, 538, 603]]","[['puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_aodh_authtoken_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/aodh/notifier.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_octavia_housekeeping_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/pacemaker/clustercheck.pp_(IaC)_', 'puppet-tripleo/releasenotes/notes/enable-octavia-certificate-configuration-d8924916efc3054b.yaml_(Other)_', 'puppet-tripleo/releasenotes/notes/add-tls-opendaylight-a3f943a0f6012424.yaml_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[1.0],[0.1111111111111111],[0.19999999999999998],[1],[1.0]
[1],"[[257, 323, 357, 305, 146, 244, 246, 407, 27, 252]]","[['puppet-tripleo/manifests/profile/base/cinder/scheduler.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/ovn_northd.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/manila/api.pp_(IaC)_', 'puppet-tripleo/spec/defines/tripleo_profile_base_neutron_wrappers_haproxy_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/snmp.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/pacemaker_remote.pp_(IaC)_', 'puppet-tripleo/manifests/haproxy/stats.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_designate_mdns_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/cinder.pp_(IaC)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[0.0],[0.0],[0],[0],[0]
[1],"[[257, 322, 323, 258, 326, 342, 472, 441, 157, 382]]","[['puppet-tripleo/manifests/profile/base/cinder/scheduler.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/cinder/backup/gcs.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/nova/compute/libvirt_guests.pp_(IaC)_', 'puppet-tripleo/releasenotes/notes/add-octavia-provider-ovn-6734aa08af4772e4.yaml_(Other)_', 'puppet-tripleo/releasenotes/notes/create-ceilo-user-for-gnocchi-b8a4d5ea2f2375a9.yaml_(Other)_', 'puppet-tripleo/spec/functions/ip_to_erl_format_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/ironic/api.pp_(IaC)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[0.0],[0.0],[0],[0],[0]
[1],"[[322, 66, 387, 359, 234, 240, 308, 247, 154, 91]]","[['puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_neutron_spec.rb_(Other)_', 'puppet-tripleo/manifests/profile/base/swift/proxy.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/l2gw.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/barbican.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/pacemaker.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/manila/scheduler.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/placement.pp_(IaC)_', 'puppet-tripleo/spec/defines/tripleo_profile_base_neutron_wrappers_radvd_spec.rb_(Other)_', 'puppet-tripleo/spec/classes/tripleo_haproxy_stats_spec.rb_(Other)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[1.0],[0.1111111111111111],[0.19999999999999998],[1],[1.0]
[1],"[[322, 323, 359, 360, 74, 14, 174, 595, 308, 247]]","[['puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/l2gw.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/neutron/l3_agent_wrappers.pp_(IaC)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_cinder_backup_ceph_spec.rb_(Other)_', 'puppet-tripleo/spec/classes/tripleo_profile_base_manila_share_spec.rb_(Other)_', 'puppet-tripleo/lib/puppet/parser/functions/local_fence_devices.rb_(Other)_', 'puppet-tripleo/releasenotes/notes/calculate-dhcp-agents-per-network-3089c5e7b15f8b7b.yaml_(Other)_', 'puppet-tripleo/manifests/profile/base/manila/scheduler.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/placement.pp_(IaC)_']]","[['puppet-tripleo/manifests/profile/base/designate.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/api.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/authtoken.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/backend.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/central.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/coordination.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/mdns.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/producer.pp_(IaC)_', 'puppet-tripleo/manifests/profile/base/designate/worker.pp_(IaC)_']]",['2acd2f4b0da57c7c0b67ddd5fcdebc4744705622'],[1.0],[0.1111111111111111],[0.19999999999999998],[1],[1.0]
