NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[10],"[[99, 136, 72, 270, 124, 145, 116, 216, 56, 284]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73643.pp_(IaC)_', 'secure_windows/manifests/stig/v73571.pp_(IaC)_', 'secure_windows/manifests/stig/v73787.pp_(IaC)_', 'secure_windows/manifests/stig/v73667.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73511.pp_(IaC)_', 'secure_windows/manifests/stig/v73381.pp_(IaC)_', 'secure_windows/manifests/init.pp_(IaC)_', 'secure_windows/manifests/stig/v73701.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.2],[0.25],[0.22222222222222224],[1],[1.0]
[10],"[[291, 99, 287, 267, 75, 269, 77, 187, 60, 63]]","[['secure_windows/manifests/stig/v73477.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_', 'secure_windows/manifests/stig/v73591.pp_(IaC)_', 'secure_windows/manifests/stig/v73801.pp_(IaC)_', 'secure_windows/manifests/stig/v73447.pp_(IaC)_', 'secure_windows/manifests/stig/v73633.pp_(IaC)_', 'secure_windows/manifests/stig/v73291.pp_(IaC)_', 'secure_windows/manifests/stig/v73421.pp_(IaC)_', 'secure_windows/manifests/stig/v73777.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.2],[0.25],[0.22222222222222224],[1],[0.5]
[10],"[[99, 287, 137, 267, 149, 157, 59, 284, 125, 191]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_', 'secure_windows/manifests/stig/v73703.pp_(IaC)_', 'secure_windows/manifests/stig/v73591.pp_(IaC)_', 'secure_windows/manifests/stig/v73297.pp_(IaC)_', 'secure_windows/manifests/stig/v73393.pp_(IaC)_', 'secure_windows/manifests/stig/v73483.pp_(IaC)_', 'secure_windows/manifests/stig/v73701.pp_(IaC)_', 'secure_windows/manifests/stig/v73727.pp_(IaC)_', 'secure_windows/manifests/stig/v73579.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.2],[0.25],[0.22222222222222224],[1],[1.0]
[10],"[[99, 260, 287, 166, 74, 172, 282, 59, 188, 31]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73491.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_', 'secure_windows/manifests/stig/v73321.pp_(IaC)_', 'secure_windows/manifests/stig/v73493.pp_(IaC)_', 'secure_windows/manifests/stig/v73649.pp_(IaC)_', 'secure_windows/manifests/stig/v73581.pp_(IaC)_', 'secure_windows/manifests/stig/v73483.pp_(IaC)_', 'secure_windows/manifests/stig/v73373.pp_(IaC)_', 'secure_windows/lib/facter/credential_guard_virtualizationbasedsecuritystatus.rb_(Other)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.2],[0.25],[0.22222222222222224],[1],[1.0]
[10],"[[232, 239, 145, 211, 277, 53, 245, 89, 154, 59]]","[['secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73683.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73449.pp_(IaC)_', 'secure_windows/manifests/stig/v73735.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73601.pp_(IaC)_', 'secure_windows/manifests/stig/v73575.pp_(IaC)_', 'secure_windows/manifests/stig/v73629.pp_(IaC)_', 'secure_windows/manifests/stig/v73483.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.3],[0.375],[0.33333333333333326],[1],[1.0]
[10],"[[99, 287, 293, 138, 107, 269, 79, 178, 91, 31]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_', 'secure_windows/manifests/stig/v73595.pp_(IaC)_', 'secure_windows/manifests/stig/v73583.pp_(IaC)_', 'secure_windows/manifests/stig/v73399.pp_(IaC)_', 'secure_windows/manifests/stig/v73447.pp_(IaC)_', 'secure_windows/manifests/stig/v73691.pp_(IaC)_', 'secure_windows/manifests/stig/v73251.pp_(IaC)_', 'secure_windows/manifests/stig/v73757.pp_(IaC)_', 'secure_windows/lib/facter/credential_guard_virtualizationbasedsecuritystatus.rb_(Other)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.2],[0.25],[0.22222222222222224],[1],[1.0]
[10],"[[99, 287, 233, 171, 304, 176, 274, 85, 246, 215, 254, 63]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_', 'secure_windows/manifests/stig/v73807.pp_(IaC)_', 'secure_windows/manifests/stig/v73659.pp_(IaC)_', 'secure_windows/manifests/stig/v73453.pp_(IaC)_', 'secure_windows/manifests/stig/v73387.pp_(IaC)_', 'secure_windows/manifests/stig/v73309.pp_(IaC)_', 'secure_windows/manifests/stig/v73425.pp_(IaC)_', 'secure_windows/manifests/stig/v73697.pp_(IaC)_', 'secure_windows/manifests/stig/v73257.pp_(IaC)_', 'secure_windows/manifests/stig/v73407.pp_(IaC)_', 'secure_windows/manifests/stig/v73777.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.2],[0.25],[0.22222222222222224],[1],[1.0]
[10],"[[99, 74, 272, 145, 306, 275, 52, 53, 242, 84]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73493.pp_(IaC)_', 'secure_windows/manifests/stig/v73725.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73793.pp_(IaC)_', 'secure_windows/manifests/stig/v73319.pp_(IaC)_', 'secure_windows/manifests/log.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73563.pp_(IaC)_', 'secure_windows/manifests/stig/v73607.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.3],[0.375],[0.33333333333333326],[1],[1.0]
[10],"[[99, 197, 233, 207, 145, 152, 121, 59, 92, 189]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73303.pp_(IaC)_', 'secure_windows/manifests/stig/v73807.pp_(IaC)_', 'secure_windows/manifests/stig/v73247.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73779.pp_(IaC)_', 'secure_windows/manifests/stig/v73653.pp_(IaC)_', 'secure_windows/manifests/stig/v73483.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73429.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.3],[0.375],[0.33333333333333326],[1],[1.0]
[10],"[[99, 287, 263, 106, 239, 145, 18, 121, 220, 223]]","[['secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_', 'secure_windows/manifests/stig/v73473.pp_(IaC)_', 'secure_windows/manifests/stig/v73535.pp_(IaC)_', 'secure_windows/manifests/stig/v73683.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/lib/facter/tpm_version.rb_(Other)_', 'secure_windows/manifests/stig/v73653.pp_(IaC)_', 'secure_windows/manifests/stig/v73413.pp_(IaC)_', 'secure_windows/manifests/stig/v73771.pp_(IaC)_']]","[['secure_windows/manifests/administrative_template_installation.pp_(IaC)_', 'secure_windows/manifests/administrative_template_msslegacy_installer.pp_(IaC)_', 'secure_windows/manifests/administrative_template_secguide_installer.pp_(IaC)_', 'secure_windows/manifests/stig/v73495.pp_(IaC)_', 'secure_windows/manifests/stig/v73497.pp_(IaC)_', 'secure_windows/manifests/stig/v73499.pp_(IaC)_', 'secure_windows/manifests/stig/v73501.pp_(IaC)_', 'secure_windows/manifests/stig/v73503.pp_(IaC)_']]",['51da76b2eef6bd70113520ecfa4f0d91072b5a55'],[0.3],[0.375],[0.33333333333333326],[1],[1.0]
