NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[5],"[[103, 40, 56, 9, 4, 34, 66, 108, 27, 122]]","[['trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/deploy.yml_(Other)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/memcached/defaults/main.yml_(Other)_', 'trellis/group_vars/all/known_hosts.yml_(Other)_', 'trellis/roles/nginx/defaults/main.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[77, 9, 33, 87, 88, 102, 107, 23, 141, 54]]","[['trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/roles/letsencrypt/tasks/setup.yml_(IaC)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/nginx.yml_(IaC)_', 'trellis/roles/php/vars/7.4.yml_(Other)_', 'trellis/roles/memcached/tasks/main.yml_(IaC)_', 'trellis/group_vars/all/users.yml_(Other)_', 'trellis/roles/wordpress-install/tasks/main.yml_(IaC)_', 'trellis/roles/ferm/templates/etc/ferm/filter-input.d/dport_limit.conf.j2_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[56, 107, 9, 36, 137, 117, 40, 116, 147, 142]]","[['trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/memcached/tasks/main.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/roles/letsencrypt/defaults/main.yml_(Other)_', 'trellis/roles/users/tasks/main.yml_(IaC)_', 'trellis/roles/common/templates/wordpress_sites.j2_(Other)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/common/templates/package_vars_wrong_format_msg.j2_(Other)_', 'trellis/roles/rollback/defaults/main.yml_(Other)_', 'trellis/roles/wordpress-install/tasks/directories.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[34, 77, 66, 9, 1, 103, 61, 60, 117, 33]]","[['trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/xdebug-tunnel.yml_(Other)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/connection/tasks/main.yml_(IaC)_', 'trellis/roles/mariadb/handlers/main.yml_(IaC)_', 'trellis/roles/common/templates/wordpress_sites.j2_(Other)_', 'trellis/roles/letsencrypt/tasks/setup.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[77, 66, 34, 60, 5, 9, 40, 112, 103, 1, 104]]","[['trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/mariadb/handlers/main.yml_(IaC)_', 'trellis/dev.yml_(Other)_', 'trellis/server.yml_(Other)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/common/tasks/disable_challenge_sites.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/xdebug-tunnel.yml_(Other)_', 'trellis/roles/php/defaults/main.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[40, 103, 56, 62, 87, 93, 77, 66, 146, 149]]","[['trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/sshd/tasks/main.yml_(IaC)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/rollback/tasks/main.yml_(IaC)_', 'trellis/.github/workflows/integration.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[34, 9, 87, 57, 66, 112, 113, 108, 101, 153]]","[['trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/mariadb/tasks/main.yml_(IaC)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/common/tasks/disable_challenge_sites.yml_(IaC)_', 'trellis/roles/common/tasks/reload_nginx.yml_(IaC)_', 'trellis/roles/memcached/defaults/main.yml_(Other)_', 'trellis/roles/php/vars/8.2.yml_(Other)_', 'trellis/.github/files/vault.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[40, 93, 103, 77, 64, 128, 87, 101, 66, 9]]","[['trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/sshd/templates/ssh_config.j2_(Other)_', 'trellis/roles/nginx/templates/h5bp/directive-only/cache-file-descriptors.conf_(Other)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/php/vars/8.2.yml_(Other)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/server.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[66, 40, 34, 103, 123, 122, 19, 73, 90, 61]]","[['trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/nginx/templates/nginx.conf.j2_(Other)_', 'trellis/roles/nginx/defaults/main.yml_(Other)_', 'trellis/group_vars/development/main.yml_(Other)_', 'trellis/roles/deploy/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/nginx-client-cert.yml_(IaC)_', 'trellis/roles/connection/tasks/main.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[103, 77, 60, 93, 137, 33, 84, 40, 32, 57]]","[['trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/mariadb/handlers/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/users/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/setup.yml_(IaC)_', 'trellis/roles/fail2ban/templates/fail2ban.local.j2_(Other)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/nginx.yml_(IaC)_', 'trellis/roles/mariadb/tasks/main.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[56, 57, 103, 40, 77, 113, 34, 1, 41, 5]]","[['trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/mariadb/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/common/tasks/reload_nginx.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/xdebug-tunnel.yml_(Other)_', 'trellis/roles/xdebug/defaults/main.yml_(Other)_', 'trellis/dev.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[87, 93, 40, 4, 103, 32, 95, 78, 79, 146]]","[['trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/deploy.yml_(Other)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/nginx.yml_(IaC)_', 'trellis/roles/wordpress-setup/templates/php-fpm.conf.j2_(Other)_', 'trellis/roles/deploy/hooks/example.yml_(IaC)_', 'trellis/roles/deploy/hooks/build-after.yml_(IaC)_', 'trellis/roles/rollback/tasks/main.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[57, 103, 23, 40, 121, 56, 123, 47, 36, 67]]","[['trellis/roles/mariadb/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/group_vars/all/users.yml_(Other)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/nginx/tasks/main.yml_(IaC)_', 'trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/nginx/templates/nginx.conf.j2_(Other)_', 'trellis/roles/ssmtp/defaults/main.yml_(Other)_', 'trellis/roles/letsencrypt/defaults/main.yml_(Other)_', 'trellis/roles/deploy/vars/main.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[88, 40, 93, 103, 87, 33, 56, 139, 121, 71, 53]]","[['trellis/roles/wordpress-setup/tasks/nginx.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/setup.yml_(IaC)_', 'trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/wordpress-install/tasks/composer-authentications.yml_(IaC)_', 'trellis/roles/nginx/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/tasks/prepare.yml_(IaC)_', 'trellis/roles/ferm/templates/etc/ferm/filter-input.d/dport_accept.conf.j2_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[88, 103, 9, 66, 77, 5, 1, 36, 116, 2, 39]]","[['trellis/roles/wordpress-setup/tasks/nginx.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/dev.yml_(Other)_', 'trellis/xdebug-tunnel.yml_(Other)_', 'trellis/roles/letsencrypt/defaults/main.yml_(Other)_', 'trellis/roles/common/templates/package_vars_wrong_format_msg.j2_(Other)_', 'trellis/trellis.cli.yml_(Other)_', 'trellis/roles/letsencrypt/templates/nginx-challenge-site.conf.j2_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[33, 77, 40, 93, 34, 32, 146, 107, 140, 23]]","[['trellis/roles/letsencrypt/tasks/setup.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/nginx.yml_(IaC)_', 'trellis/roles/rollback/tasks/main.yml_(IaC)_', 'trellis/roles/memcached/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-install/tasks/dotenv.yml_(IaC)_', 'trellis/group_vars/all/users.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[9, 37, 93, 40, 96, 152, 113, 103, 42, 77, 123]]","[['trellis/server.yml_(Other)_', 'trellis/roles/letsencrypt/templates/acme-challenge-location.conf.j2_(Other)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/templates/wordpress-site.conf.j2_(Other)_', 'trellis/.github/actions/setup-step-ca/action.yml_(Other)_', 'trellis/roles/common/tasks/reload_nginx.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/xdebug/templates/xdebug.ini.j2_(Other)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/nginx/templates/nginx.conf.j2_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[103, 74, 32, 9, 33, 31, 157, 47, 75, 23]]","[['trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/tasks/build.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/nginx.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/roles/letsencrypt/tasks/setup.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/certificates.yml_(IaC)_', 'trellis/lib/trellis/plugins/vars/version.py_(Other)_', 'trellis/roles/ssmtp/defaults/main.yml_(Other)_', 'trellis/roles/deploy/defaults/main.yml_(Other)_', 'trellis/group_vars/all/users.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[103, 109, 66, 40, 67, 88, 77, 1, 54, 80]]","[['trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/memcached/templates/memcached.conf.j2_(Other)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/vars/main.yml_(Other)_', 'trellis/roles/wordpress-setup/tasks/nginx.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/xdebug-tunnel.yml_(Other)_', 'trellis/roles/ferm/templates/etc/ferm/filter-input.d/dport_limit.conf.j2_(Other)_', 'trellis/roles/deploy/templates/env.j2_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[9, 93, 12, 56, 40, 103, 137, 1, 95, 44]]","[['trellis/server.yml_(Other)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/group_vars/staging/wordpress_sites.yml_(Other)_', 'trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/users/tasks/main.yml_(IaC)_', 'trellis/xdebug-tunnel.yml_(Other)_', 'trellis/roles/wordpress-setup/templates/php-fpm.conf.j2_(Other)_', 'trellis/roles/wp-cli/defaults/main.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[77, 66, 56, 31, 103, 104, 63, 40, 45, 61]]","[['trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/ferm/handlers/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/certificates.yml_(IaC)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/php/defaults/main.yml_(Other)_', 'trellis/roles/sshd/defaults/main.yml_(Other)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/wp-cli/templates/wp-cli.pgp.gpg_(Other)_', 'trellis/roles/connection/tasks/main.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[9, 66, 93, 147, 103, 36, 122, 107, 12, 152]]","[['trellis/server.yml_(Other)_', 'trellis/roles/sshd/handlers/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/rollback/defaults/main.yml_(Other)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/defaults/main.yml_(Other)_', 'trellis/roles/nginx/defaults/main.yml_(Other)_', 'trellis/roles/memcached/tasks/main.yml_(IaC)_', 'trellis/group_vars/staging/wordpress_sites.yml_(Other)_', 'trellis/.github/actions/setup-step-ca/action.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[9, 77, 107, 61, 87, 29, 52, 103, 70, 16]]","[['trellis/server.yml_(Other)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/memcached/tasks/main.yml_(IaC)_', 'trellis/roles/connection/tasks/main.yml_(IaC)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/group_vars/production/wordpress_sites.yml_(Other)_', 'trellis/roles/ferm/templates/etc/ferm/ferm.conf.j2_(Other)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/deploy/tasks/finalize.yml_(IaC)_', 'trellis/group_vars/development/vault.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[77, 137, 5, 103, 93, 144, 9, 73, 92, 37]]","[['trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/users/tasks/main.yml_(IaC)_', 'trellis/dev.yml_(Other)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/main.yml_(IaC)_', 'trellis/roles/rollback/tasks/prior-release.yml_(IaC)_', 'trellis/server.yml_(Other)_', 'trellis/roles/deploy/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/database.yml_(IaC)_', 'trellis/roles/letsencrypt/templates/acme-challenge-location.conf.j2_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[103, 5, 40, 34, 88, 32, 77, 138, 60, 136, 36]]","[['trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/dev.yml_(Other)_', 'trellis/roles/xdebug/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/nginx.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/nginx.yml_(IaC)_', 'trellis/roles/deploy/hooks/finalize-after.yml_(IaC)_', 'trellis/roles/users/templates/sudoers.d.j2_(Other)_', 'trellis/roles/mariadb/handlers/main.yml_(IaC)_', 'trellis/roles/users/tasks/connection-warnings.yml_(IaC)_', 'trellis/roles/letsencrypt/defaults/main.yml_(Other)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
[5],"[[9, 103, 88, 107, 121, 34, 87, 78, 79, 74]]","[['trellis/server.yml_(Other)_', 'trellis/roles/php/tasks/main.yml_(IaC)_', 'trellis/roles/wordpress-setup/tasks/nginx.yml_(IaC)_', 'trellis/roles/memcached/tasks/main.yml_(IaC)_', 'trellis/roles/nginx/tasks/main.yml_(IaC)_', 'trellis/roles/letsencrypt/tasks/main.yml_(IaC)_', 'trellis/roles/fail2ban/handlers/main.yml_(IaC)_', 'trellis/roles/deploy/hooks/example.yml_(IaC)_', 'trellis/roles/deploy/hooks/build-after.yml_(IaC)_', 'trellis/roles/deploy/tasks/build.yml_(IaC)_']]","[['trellis/group_vars/all/main.yml_(Other)_', 'trellis/roles/common/tasks/main.yml_(IaC)_']]",['0d4bd8e5285f3327a08ce38a03df4531c196aee6'],[0.0],[0.0],[0],[0],[0]
